Season,League,Team,Date,Player,#,Nation,Pos,Age,Min,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2020-2021,Bundesliga,Bayern Munich,2020-09-18,Robert Lewandowski,9,pl POL,FW,32-028,90,0,0,0,3,2,3,1,0,0,1,0,0,4,0,1,0.0
2020-2021,Bundesliga,Bayern Munich,2020-09-18,Serge Gnabry,7,de GER,LW,25-066,72,0,0,0,1,0,0,3,2,0,0,0,0,2,1,2,33.3
2020-2021,Bundesliga,Bayern Munich,2020-09-18,Jamal Musiala,42,de GER,LW,17-205,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Bayern Munich,2020-09-18,Leroy Sané,10,de GER,RW,24-251,72,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0.0
2020-2021,Bundesliga,Bayern Munich,2020-09-18,Mickaël Cuisance,11,fr FRA,RW,21-033,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
2020-2021,Bundesliga,Bayern Munich,2020-09-18,Thomas Müller,25,de GER,AM,31-005,82,0,0,0,2,0,0,1,1,2,0,0,0,6,0,1,0.0
2020-2021,Bundesliga,Bayern Munich,2020-09-18,Joshua Zirkzee,14,nl NED,AM,19-119,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Bayern Munich,2020-09-18,Joshua Kimmich,6,de GER,CM,25-223,90,1,0,0,2,3,0,2,1,1,0,0,0,12,0,0,
2020-2021,Bundesliga,Bayern Munich,2020-09-18,Leon Goretzka,18,de GER,CM,25-225,50,0,0,0,0,1,0,0,1,1,0,0,0,7,1,1,50.0
2020-2021,Bundesliga,Bayern Munich,2020-09-18,Corentin Tolisso,24,fr FRA,CM,26-046,40,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,
2020-2021,Bundesliga,Bayern Munich,2020-09-18,Lucas Hernández,21,fr FRA,LB,24-217,90,0,0,0,0,3,0,5,0,0,0,0,0,10,3,0,100.0
2020-2021,Bundesliga,Bayern Munich,2020-09-18,Jérôme Boateng,17,de GER,CB,32-015,72,0,0,0,0,1,0,1,0,1,0,0,0,10,3,0,100.0
2020-2021,Bundesliga,Bayern Munich,2020-09-18,Chris Richards,41,us USA,CB,20-174,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Bayern Munich,2020-09-18,Niklas Süle,4,de GER,CB,25-015,90,0,0,0,1,0,0,0,1,1,0,0,0,11,3,0,100.0
2020-2021,Bundesliga,Bayern Munich,2020-09-18,Benjamin Pavard,5,fr FRA,RB,24-174,90,0,0,0,3,0,0,3,1,1,0,0,0,11,0,0,
2020-2021,Bundesliga,Bayern Munich,2020-09-18,Manuel Neuer,1,de GER,GK,34-175,90,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,
2020-2021,Bundesliga,Schalke 04,2020-09-18,Gonçalo Paciência,18,pt POR,FW,26-048,78,0,0,0,1,2,0,1,0,2,0,0,0,1,1,3,25.0
2020-2021,Bundesliga,Schalke 04,2020-09-18,Timo Becker,31,de GER,RB,23-177,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-2021,Bundesliga,Schalke 04,2020-09-18,Mark Uth,7,de GER,FW,29-025,90,0,0,0,2,2,2,2,0,2,0,0,0,3,0,2,0.0
2020-2021,Bundesliga,Schalke 04,2020-09-18,Amine Harit,25,ma MAR,LM,23-092,78,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,
2020-2021,Bundesliga,Schalke 04,2020-09-18,Steven Skrzybski,22,de GER,FW,27-305,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0
2020-2021,Bundesliga,Schalke 04,2020-09-18,Rabbi Matondo,14,wal WAL,RM,20-009,65,0,0,0,1,1,0,1,1,0,0,0,0,4,0,2,0.0
2020-2021,Bundesliga,Schalke 04,2020-09-18,Benito Raman,9,be BEL,RM,25-316,25,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,
2020-2021,Bundesliga,Schalke 04,2020-09-18,Nabil Bentaleb,10,dz ALG,DM,25-299,90,0,0,0,2,0,0,0,1,1,0,0,0,9,0,0,
2020-2021,Bundesliga,Schalke 04,2020-09-18,Suat Serdar,8,de GER,DM,23-160,29,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
2020-2021,Bundesliga,Schalke 04,2020-09-18,Alessandro Schöpf,28,at AUT,"DM,LM",26-224,61,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,
2020-2021,Bundesliga,Schalke 04,2020-09-18,Bastian Oczipka,24,de GER,LB,31-250,90,0,0,0,0,2,0,0,2,2,0,0,0,7,0,1,0.0
2020-2021,Bundesliga,Schalke 04,2020-09-18,Benjamin Stambouli,17,fr FRA,CB,30-036,90,1,0,0,1,1,0,0,0,2,0,0,0,12,0,0,
2020-2021,Bundesliga,Schalke 04,2020-09-18,Ozan Kabak,4,tr TUR,CB,20-177,90,1,0,0,4,0,0,0,1,1,0,1,0,8,2,0,100.0
2020-2021,Bundesliga,Schalke 04,2020-09-18,Sebastian Rudy,13,de GER,"RB,DM",30-203,90,0,0,0,2,0,0,1,0,0,0,0,0,10,3,2,60.0
2020-2021,Bundesliga,Schalke 04,2020-09-18,Ralf Fährmann,1,de GER,GK,31-357,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
2020-2021,Bundesliga,Köln,2020-09-19,Sebastian Andersson,9,se SWE,FW,29-066,90,0,0,0,3,1,0,1,0,0,0,0,0,6,6,8,42.9
2020-2021,Bundesliga,Köln,2020-09-19,Jan Thielmann,29,de GER,LW,18-116,70,0,0,0,0,0,0,1,1,1,0,0,0,5,1,0,100.0
2020-2021,Bundesliga,Köln,2020-09-19,Salih Özcan,21,de GER,LW,22-252,20,0,0,0,0,1,0,1,0,1,0,0,0,3,0,1,0.0
2020-2021,Bundesliga,Köln,2020-09-19,Elvis Rexhbeçaj,20,de GER,RW,22-323,70,0,0,0,1,0,0,1,0,0,0,0,0,4,1,0,100.0
2020-2021,Bundesliga,Köln,2020-09-19,Dominick Drexler,24,de GER,RW,30-116,20,0,0,0,2,1,0,0,0,0,0,0,0,3,1,0,100.0
2020-2021,Bundesliga,Köln,2020-09-19,Ondrej Duda,18,sk SVK,AM,25-289,88,1,0,0,5,6,0,0,0,1,0,0,0,6,2,2,50.0
2020-2021,Bundesliga,Köln,2020-09-19,Noah Katterbach,3,de GER,AM,19-159,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
2020-2021,Bundesliga,Köln,2020-09-19,Jonas Hector,14,de GER,CM,30-115,90,1,0,0,1,1,0,0,0,0,0,0,0,7,3,2,60.0
2020-2021,Bundesliga,Köln,2020-09-19,Ellyes Skhiri,28,tn TUN,CM,25-132,85,0,0,0,1,1,0,0,2,1,0,0,0,13,1,0,100.0
2020-2021,Bundesliga,Köln,2020-09-19,Frederik Sørensen,30,dk DEN,CM,28-158,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0
2020-2021,Bundesliga,Köln,2020-09-19,Jannes Horn,23,de GER,LB,23-226,90,0,0,0,0,2,0,6,0,0,0,0,0,10,2,0,100.0
2020-2021,Bundesliga,Köln,2020-09-19,Rafael Czichos,5,de GER,CB,30-128,90,0,0,0,1,2,0,0,0,2,0,1,0,11,9,4,69.2
2020-2021,Bundesliga,Köln,2020-09-19,Sebastiaan Bornauw,33,be BEL,CB,21-181,90,1,0,0,1,0,0,0,0,2,0,0,0,5,1,2,33.3
2020-2021,Bundesliga,Köln,2020-09-19,Marco Höger,6,de GER,RB,31-003,45,0,0,0,0,1,0,1,1,2,0,0,0,6,2,3,40.0
2020-2021,Bundesliga,Köln,2020-09-19,Kingsley Ehizibue,19,nl NED,RB,25-117,45,0,0,0,1,1,0,1,1,0,0,0,0,5,4,2,66.7
2020-2021,Bundesliga,Köln,2020-09-19,Timo Horn,1,de GER,GK,27-130,90,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,
