League,Season,Round,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
Bundesliga,2019-2020,Regular Season,1,Fri,2019-08-16,20:30,Bayern Munich,2.6,1.0,Hertha BSC,75000,Allianz Arena,Harm Osmers,https://fbref.com/en/matches/64c6b172/Bayern-Munich-Hertha-BSC-August-16-2019-Bundesliga,2,2
Bundesliga,2019-2020,Regular Season,1,Sat,2019-08-17,15:30,Freiburg,1.8,0.9,Mainz 05,24000,Schwarzwald-Stadion,Robert Hartmann,https://fbref.com/en/matches/ca302c1f/Freiburg-Mainz-05-August-17-2019-Bundesliga,3,0
Bundesliga,2019-2020,Regular Season,1,Sat,2019-08-17,15:30,Dortmund,2.7,0.7,Augsburg,81365,Signal Iduna Park,Frank Willenborg,https://fbref.com/en/matches/cc473b97/Dortmund-Augsburg-August-17-2019-Bundesliga,5,1
Bundesliga,2019-2020,Regular Season,1,Sat,2019-08-17,15:30,Leverkusen,2.7,1.2,Paderborn 07,26208,BayArena,Tobias Stieler,https://fbref.com/en/matches/db6a3cfb/Bayer-Leverkusen-Paderborn-07-August-17-2019-Bundesliga,3,2
Bundesliga,2019-2020,Regular Season,1,Sat,2019-08-17,15:30,Werder Bremen,2.4,0.9,Düsseldorf,42100,Weserstadion,Felix Zwayer,https://fbref.com/en/matches/e2f8f9ad/Werder-Bremen-Dusseldorf-August-17-2019-Bundesliga,1,3
Bundesliga,2019-2020,Regular Season,1,Sat,2019-08-17,15:30,Wolfsburg,0.9,1.2,Köln,25099,Volkswagen Arena,Sven Jablonski,https://fbref.com/en/matches/8ba606b2/Wolfsburg-Koln-August-17-2019-Bundesliga,2,1
Bundesliga,2019-2020,Regular Season,1,Sat,2019-08-17,18:30,M'Gladbach,1.6,0.6,Schalke 04,54022,Stadion im Borussia-Park,Felix Brych,https://fbref.com/en/matches/e0231248/Monchengladbach-Schalke-04-August-17-2019-Bundesliga,0,0
Bundesliga,2019-2020,Regular Season,1,Sun,2019-08-18,15:30,Eint Frankfurt,1.1,0.6,Hoffenheim,50200,Commerzbank-Arena,Daniel Siebert,https://fbref.com/en/matches/eef5167d/Eintracht-Frankfurt-Hoffenheim-August-18-2019-Bundesliga,1,0
Bundesliga,2019-2020,Regular Season,1,Sun,2019-08-18,18:00,Union Berlin,0.5,3.1,RB Leipzig,22467,Stadion An der Alten Försterei,Markus Schmidt,https://fbref.com/en/matches/e9b15f14/Union-Berlin-RB-Leipzig-August-18-2019-Bundesliga,0,4
Bundesliga,2019-2020,Regular Season,2,Fri,2019-08-23,20:30,Köln,0.7,1.4,Dortmund,50000,RheinEnergieSTADION,Christian Dingert,https://fbref.com/en/matches/b525a1fd/Koln-Dortmund-August-23-2019-Bundesliga,1,3
Bundesliga,2019-2020,Regular Season,2,Sat,2019-08-24,15:30,Paderborn 07,1.7,2.2,Freiburg,14322,Benteler-Arena,Tobias Welz,https://fbref.com/en/matches/189b5f4d/Paderborn-07-Freiburg-August-24-2019-Bundesliga,1,3
Bundesliga,2019-2020,Regular Season,2,Sat,2019-08-24,15:30,Hoffenheim,0.7,1.3,Werder Bremen,27333,PreZero Arena,Sascha Stegemann,https://fbref.com/en/matches/5a21ab95/Hoffenheim-Werder-Bremen-August-24-2019-Bundesliga,3,2
Bundesliga,2019-2020,Regular Season,2,Sat,2019-08-24,15:30,Augsburg,1.3,1.1,Union Berlin,27703,WWK Arena,Robert Schröder,https://fbref.com/en/matches/83bc5f60/Augsburg-Union-Berlin-August-24-2019-Bundesliga,1,1
Bundesliga,2019-2020,Regular Season,2,Sat,2019-08-24,15:30,Düsseldorf,1.0,1.8,Leverkusen,44538,Merkur Spielarena,Patrick Ittrich,https://fbref.com/en/matches/43413413/Dusseldorf-Bayer-Leverkusen-August-24-2019-Bundesliga,1,3
Bundesliga,2019-2020,Regular Season,2,Sat,2019-08-24,15:30,Mainz 05,1.3,1.6,M'Gladbach,28005,Opel Arena,Martin Petersen,https://fbref.com/en/matches/c8ba489a/Mainz-05-Monchengladbach-August-24-2019-Bundesliga,1,3
Bundesliga,2019-2020,Regular Season,2,Sat,2019-08-24,18:30,Schalke 04,1.0,1.5,Bayern Munich,62271,Veltins-Arena,Marco Fritz,https://fbref.com/en/matches/abd795f9/Schalke-04-Bayern-Munich-August-24-2019-Bundesliga,0,3
Bundesliga,2019-2020,Regular Season,2,Sun,2019-08-25,15:30,RB Leipzig,1.4,1.0,Eint Frankfurt,40108,Red Bull Arena,Benjamin Cortus,https://fbref.com/en/matches/32ccc187/RB-Leipzig-Eintracht-Frankfurt-August-25-2019-Bundesliga,2,1
Bundesliga,2019-2020,Regular Season,2,Sun,2019-08-25,18:00,Hertha BSC,1.1,1.3,Wolfsburg,42738,Olympiastadion Berlin,Guido Winkmann,https://fbref.com/en/matches/cd9bb26d/Hertha-BSC-Wolfsburg-August-25-2019-Bundesliga,0,3
Bundesliga,2019-2020,Regular Season,3,Fri,2019-08-30,20:30,M'Gladbach,1.1,2.2,RB Leipzig,47327,Stadion im Borussia-Park,Sven Jablonski,https://fbref.com/en/matches/2fd6cc1c/Monchengladbach-RB-Leipzig-August-30-2019-Bundesliga,1,3
