League,Season,Wk,Day,Date,Time,HomeTeam,AwayTeam,Attendance,Venue,Referee,HomeScore,AwayScore
EPL,2015-2016,1,Sat,2015-08-08,12:45,Manchester Utd,Tottenham,75261,Old Trafford,Jonathan Moss,1,0
EPL,2015-2016,1,Sat,2015-08-08,15:00,Norwich City,Crystal Palace,27036,Carrow Road,Simon Hooper,1,3
EPL,2015-2016,1,Sat,2015-08-08,15:00,Leicester City,Sunderland,32242,King Power Stadium,Lee Mason,4,2
EPL,2015-2016,1,Sat,2015-08-08,15:00,Bournemouth,Aston Villa,11155,Vitality Stadium,Mark Clattenburg,0,1
EPL,2015-2016,1,Sat,2015-08-08,15:00,Everton,Watford,39063,Goodison Park,Mike Jones,2,2
EPL,2015-2016,1,Sat,2015-08-08,17:30,Chelsea,Swansea City,41232,Stamford Bridge,Michael Oliver,2,2
EPL,2015-2016,1,Sun,2015-08-09,13:30,Arsenal,West Ham,59996,Emirates Stadium,Martin Atkinson,0,2
EPL,2015-2016,1,Sun,2015-08-09,13:30,Newcastle Utd,Southampton,49019,St. James' Park,Craig Pawson,2,2
EPL,2015-2016,1,Sun,2015-08-09,16:00,Stoke City,Liverpool,27654,Bet365 Stadium,Anthony Taylor,0,1
EPL,2015-2016,1,Mon,2015-08-10,20:00,West Brom,Manchester City,24564,The Hawthorns,Mike Dean,0,3
EPL,2015-2016,2,Fri,2015-08-14,19:45,Aston Villa,Manchester Utd,42200,Villa Park,Mike Dean,0,1
EPL,2015-2016,2,Sat,2015-08-15,12:45,Southampton,Everton,30966,St. Mary's Stadium,Michael Oliver,0,3
EPL,2015-2016,2,Sat,2015-08-15,15:00,Swansea City,Newcastle Utd,20678,Liberty Stadium,Mike Jones,2,0
EPL,2015-2016,2,Sat,2015-08-15,15:00,Sunderland,Norwich City,41379,Stadium of Light,Kevin Friend,1,3
EPL,2015-2016,2,Sat,2015-08-15,15:00,Watford,West Brom,20011,Vicarage Road Stadium,Paul Tierney,0,0
EPL,2015-2016,2,Sat,2015-08-15,15:00,Tottenham,Stoke City,36004,White Hart Lane,Robert Madley,2,2
EPL,2015-2016,2,Sat,2015-08-15,15:00,West Ham,Leicester City,34857,Boleyn Ground,Anthony Taylor,1,2
EPL,2015-2016,2,Sun,2015-08-16,13:30,Crystal Palace,Arsenal,24732,Selhurst Park,Lee Mason,1,2
EPL,2015-2016,2,Sun,2015-08-16,16:00,Manchester City,Chelsea,54331,Etihad Stadium,Martin Atkinson,3,0
EPL,2015-2016,2,Mon,2015-08-17,20:00,Liverpool,Bournemouth,44102,Anfield,Craig Pawson,1,0
EPL,2015-2016,3,Sat,2015-08-22,12:45,Manchester Utd,Newcastle Utd,75354,Old Trafford,Craig Pawson,0,0
EPL,2015-2016,3,Sat,2015-08-22,15:00,Leicester City,Tottenham,31971,King Power Stadium,Martin Atkinson,1,1
EPL,2015-2016,3,Sat,2015-08-22,15:00,Sunderland,Swansea City,39198,Stadium of Light,Niel Swarbrick,1,1
EPL,2015-2016,3,Sat,2015-08-22,15:00,Crystal Palace,Aston Villa,25295,Selhurst Park,Keith Stroud,2,1
EPL,2015-2016,3,Sat,2015-08-22,15:00,Norwich City,Stoke City,26771,Carrow Road,Mike Dean,1,1
EPL,2015-2016,3,Sat,2015-08-22,15:00,West Ham,Bournemouth,34977,Boleyn Ground,Jonathan Moss,3,4
EPL,2015-2016,3,Sun,2015-08-23,13:30,West Brom,Chelsea,23256,The Hawthorns,Mark Clattenburg,2,3
EPL,2015-2016,3,Sun,2015-08-23,16:00,Everton,Manchester City,38523,Goodison Park,Anthony Taylor,0,2
EPL,2015-2016,3,Sun,2015-08-23,16:00,Watford,Southampton,20166,Vicarage Road Stadium,Andre Marriner,0,0
EPL,2015-2016,3,Mon,2015-08-24,20:00,Arsenal,Liverpool,60080,Emirates Stadium,Michael Oliver,0,0
EPL,2015-2016,4,Sat,2015-08-29,12:45,Newcastle Utd,Arsenal,50388,St. James' Park,Andre Marriner,0,1
EPL,2015-2016,4,Sat,2015-08-29,15:00,Manchester City,Watford,53218,Etihad Stadium,Mark Clattenburg,2,0
EPL,2015-2016,4,Sat,2015-08-29,15:00,Bournemouth,Leicester City,11155,Vitality Stadium,Niel Swarbrick,1,1
EPL,2015-2016,4,Sat,2015-08-29,15:00,Chelsea,Crystal Palace,41581,Stamford Bridge,Craig Pawson,1,2
EPL,2015-2016,4,Sat,2015-08-29,15:00,Aston Villa,Sunderland,35399,Villa Park,Robert Madley,2,2
EPL,2015-2016,4,Sat,2015-08-29,15:00,Liverpool,West Ham,43680,Anfield,Kevin Friend,0,3
EPL,2015-2016,4,Sat,2015-08-29,15:00,Stoke City,West Brom,26747,Bet365 Stadium,Michael Oliver,0,1
EPL,2015-2016,4,Sat,2015-08-29,17:30,Tottenham,Everton,35865,White Hart Lane,Mike Jones,0,0
