League,Season,Wk,Day,Date,Time,HomeTeam,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
EPL,2016-2017,1,Sat,2016-08-13,12:30,Hull City,Leicester City,21037,Kingston Communications Stadium,Mike Dean,https://fbref.com/en/matches/78c3fc92/Hull-City-Leicester-City-August-13-2016-Premier-League,2,1
EPL,2016-2017,1,Sat,2016-08-13,15:00,Everton,Tottenham,39494,Goodison Park,Martin Atkinson,https://fbref.com/en/matches/fa337038/Everton-Tottenham-Hotspur-August-13-2016-Premier-League,1,1
EPL,2016-2017,1,Sat,2016-08-13,15:00,Burnley,Swansea City,19126,Turf Moor,Jonathan Moss,https://fbref.com/en/matches/09bf9607/Burnley-Swansea-City-August-13-2016-Premier-League,0,1
EPL,2016-2017,1,Sat,2016-08-13,15:00,Crystal Palace,West Brom,24490,Selhurst Park,Craig Pawson,https://fbref.com/en/matches/71e8ff6e/Crystal-Palace-West-Bromwich-Albion-August-13-2016-Premier-League,0,1
EPL,2016-2017,1,Sat,2016-08-13,15:00,Southampton,Watford,31488,St. Mary's Stadium,Roger East,https://fbref.com/en/matches/56319719/Southampton-Watford-August-13-2016-Premier-League,1,1
EPL,2016-2017,1,Sat,2016-08-13,15:00,Middlesbrough,Stoke City,32110,Riverside Stadium,Kevin Friend,https://fbref.com/en/matches/a80443d6/Middlesbrough-Stoke-City-August-13-2016-Premier-League,1,1
EPL,2016-2017,1,Sat,2016-08-13,17:30,Manchester City,Sunderland,54362,Etihad Stadium,Robert Madley,https://fbref.com/en/matches/69572f77/Manchester-City-Sunderland-August-13-2016-Premier-League,2,1
EPL,2016-2017,1,Sun,2016-08-14,13:30,Bournemouth,Manchester Utd,11355,Vitality Stadium,Andre Marriner,https://fbref.com/en/matches/5e0de35a/Bournemouth-Manchester-United-August-14-2016-Premier-League,1,3
EPL,2016-2017,1,Sun,2016-08-14,16:00,Arsenal,Liverpool,60033,Emirates Stadium,Michael Oliver,https://fbref.com/en/matches/0e815975/Arsenal-Liverpool-August-14-2016-Premier-League,3,4
EPL,2016-2017,1,Mon,2016-08-15,20:00,Chelsea,West Ham,41521,Stamford Bridge,Anthony Taylor,https://fbref.com/en/matches/d2f7199a/Chelsea-West-Ham-United-August-15-2016-Premier-League,2,1
