League,Season,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
EPL,2018-2019,1,Fri,2018-08-10,20:00,Manchester Utd,1.6,1.1,Leicester City,74439,Old Trafford,Andre Marriner,https://fbref.com/en/matches/3ae83896/Manchester-United-Leicester-City-August-10-2018-Premier-League,2,1
EPL,2018-2019,1,Sat,2018-08-11,12:30,Newcastle Utd,0.8,1.7,Tottenham,51749,St. James' Park,Martin Atkinson,https://fbref.com/en/matches/dce15e01/Newcastle-United-Tottenham-Hotspur-August-11-2018-Premier-League,1,2
EPL,2018-2019,1,Sat,2018-08-11,15:00,Watford,1.5,0.3,Brighton,20051,Vicarage Road Stadium,Jonathan Moss,https://fbref.com/en/matches/b3a7c703/Watford-Brighton-and-Hove-Albion-August-11-2018-Premier-League,2,0
EPL,2018-2019,1,Sat,2018-08-11,15:00,Huddersfield,0.6,1.9,Chelsea,24121,The John Smith's Stadium,Chris Kavanagh,https://fbref.com/en/matches/d82a37a7/Huddersfield-Town-Chelsea-August-11-2018-Premier-League,0,3
EPL,2018-2019,1,Sat,2018-08-11,15:00,Bournemouth,2.2,1.4,Cardiff City,10353,Vitality Stadium,Kevin Friend,https://fbref.com/en/matches/352f5574/Bournemouth-Cardiff-City-August-11-2018-Premier-League,2,0
EPL,2018-2019,1,Sat,2018-08-11,15:00,Fulham,0.7,0.8,Crystal Palace,24821,Craven Cottage,Mike Dean,https://fbref.com/en/matches/30875601/Fulham-Crystal-Palace-August-11-2018-Premier-League,0,2
EPL,2018-2019,1,Sat,2018-08-11,17:30,Wolves,0.7,0.7,Everton,31231,Molineux Stadium,Craig Pawson,https://fbref.com/en/matches/8dc8eaeb/Wolverhampton-Wanderers-Everton-August-11-2018-Premier-League,2,2
EPL,2018-2019,1,Sun,2018-08-12,13:30,Southampton,1.0,1.2,Burnley,30784,St. Mary's Stadium,Graham Scott,https://fbref.com/en/matches/aadb88b9/Southampton-Burnley-August-12-2018-Premier-League,0,0
EPL,2018-2019,1,Sun,2018-08-12,13:30,Liverpool,3.5,0.8,West Ham,53235,Anfield,Anthony Taylor,https://fbref.com/en/matches/fc2c1788/Liverpool-West-Ham-United-August-12-2018-Premier-League,4,0
EPL,2018-2019,1,Sun,2018-08-12,16:00,Arsenal,0.4,1.7,Manchester City,59934,Emirates Stadium,Michael Oliver,https://fbref.com/en/matches/478e9dab/Arsenal-Manchester-City-August-12-2018-Premier-League,0,2
EPL,2018-2019,2,Sat,2018-08-18,12:30,Cardiff City,1.1,1.4,Newcastle Utd,30720,Cardiff City Stadium,Craig Pawson,https://fbref.com/en/matches/8b9218b2/Cardiff-City-Newcastle-United-August-18-2018-Premier-League,0,0
EPL,2018-2019,2,Sat,2018-08-18,15:00,Everton,1.4,1.6,Southampton,38601,Goodison Park,Lee Mason,https://fbref.com/en/matches/7b877ffd/Everton-Southampton-August-18-2018-Premier-League,2,1
EPL,2018-2019,2,Sat,2018-08-18,15:00,West Ham,1.2,1.8,Bournemouth,56888,London Stadium,Stuart Attwell,https://fbref.com/en/matches/19d6b566/West-Ham-United-Bournemouth-August-18-2018-Premier-League,1,2
EPL,2018-2019,2,Sat,2018-08-18,15:00,Leicester City,0.2,1.2,Wolves,32043,King Power Stadium,Mike Dean,https://fbref.com/en/matches/8088d605/Leicester-City-Wolverhampton-Wanderers-August-18-2018-Premier-League,2,0
EPL,2018-2019,2,Sat,2018-08-18,15:00,Tottenham,2.9,1.5,Fulham,58297,Wembley Stadium,Anthony Taylor,https://fbref.com/en/matches/aa8f0365/Tottenham-Hotspur-Fulham-August-18-2018-Premier-League,3,1
EPL,2018-2019,2,Sat,2018-08-18,17:30,Chelsea,2.3,2.1,Arsenal,40491,Stamford Bridge,Martin Atkinson,https://fbref.com/en/matches/9b69882c/North-West-London-Derby-Chelsea-Arsenal-August-18-2018-Premier-League,3,2
EPL,2018-2019,2,Sun,2018-08-19,13:30,Manchester City,3.4,0.7,Huddersfield,54021,Etihad Stadium,Andre Marriner,https://fbref.com/en/matches/64ee90d5/Manchester-City-Huddersfield-Town-August-19-2018-Premier-League,6,1
EPL,2018-2019,2,Sun,2018-08-19,13:30,Burnley,0.4,1.5,Watford,18822,Turf Moor,Paul Tierney,https://fbref.com/en/matches/5f6c378d/Burnley-Watford-August-19-2018-Premier-League,1,3
EPL,2018-2019,2,Sun,2018-08-19,16:00,Brighton,1.8,1.4,Manchester Utd,30592,The American Express Community Stadium,Kevin Friend,https://fbref.com/en/matches/620ebbfd/Brighton-and-Hove-Albion-Manchester-United-August-19-2018-Premier-League,3,2
EPL,2018-2019,2,Mon,2018-08-20,20:00,Crystal Palace,0.4,2.6,Liverpool,25750,Selhurst Park,Michael Oliver,https://fbref.com/en/matches/24e4536f/Crystal-Palace-Liverpool-August-20-2018-Premier-League,0,2
EPL,2018-2019,3,Sat,2018-08-25,12:30,Wolves,0.9,1.8,Manchester City,31322,Molineux Stadium,Martin Atkinson,https://fbref.com/en/matches/a25a3f33/Wolverhampton-Wanderers-Manchester-City-August-25-2018-Premier-League,1,1
