League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,Matches
EPL,2018-2019,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,27,1990,https://fbref.com/en/players/5f09991f/matchlogs/2018-2019/summary/Patrick-van-Aanholt-Match-Logs
EPL,2018-2019,2,Sergio Agüero,ar ARG,FW,Manchester City,30,1988,https://fbref.com/en/players/4d034881/matchlogs/2018-2019/summary/Sergio-Aguero-Match-Logs
EPL,2018-2019,3,Nathan Aké,nl NED,DF,Bournemouth,23,1995,https://fbref.com/en/players/eaeca114/matchlogs/2018-2019/summary/Nathan-Ake-Match-Logs
EPL,2018-2019,4,Marc Albrighton,eng ENG,"FW,MF",Leicester City,28,1989,https://fbref.com/en/players/b827d5b3/matchlogs/2018-2019/summary/Marc-Albrighton-Match-Logs
EPL,2018-2019,5,Toby Alderweireld,be BEL,DF,Tottenham,29,1989,https://fbref.com/en/players/f7d50789/matchlogs/2018-2019/summary/Toby-Alderweireld-Match-Logs
EPL,2018-2019,6,Trent Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,https://fbref.com/en/players/cd1acf9d/matchlogs/2018-2019/summary/Trent-Alexander-Arnold-Match-Logs
EPL,2018-2019,7,Alisson,br BRA,GK,Liverpool,25,1992,https://fbref.com/en/players/7a2e46a8/matchlogs/2018-2019/summary/Alisson-Match-Logs
EPL,2018-2019,8,Dele Alli,eng ENG,"MF,FW",Tottenham,22,1996,https://fbref.com/en/players/cea4ee8f/matchlogs/2018-2019/summary/Dele-Alli-Match-Logs
EPL,2018-2019,9,Miguel Almirón,py PAR,"FW,MF",Newcastle Utd,24,1994,https://fbref.com/en/players/862a1c15/matchlogs/2018-2019/summary/Miguel-Almiron-Match-Logs
EPL,2018-2019,10,Marcos Alonso,es ESP,DF,Chelsea,27,1990,https://fbref.com/en/players/f4290206/matchlogs/2018-2019/summary/Marcos-Alonso-Match-Logs
EPL,2018-2019,11,Daniel Amartey,gh GHA,DF,Leicester City,23,1994,https://fbref.com/en/players/1a4ef233/matchlogs/2018-2019/summary/Daniel-Amartey-Match-Logs
