League,Season,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
Ligue1,2019-2020,1,Fri,2019-08-09,20:45,Monaco,0.8,0.8,Lyon,10000,Stade Louis II.,Ruddy Buquet,https://fbref.com/en/matches/eb594ee1/Monaco-Lyon-August-9-2019-Ligue-1,0,3
Ligue1,2019-2020,1,Sat,2019-08-10,17:30,Marseille,0.5,1.5,Reims,52887,Orange Vélodrome,Jérôme Brisard,https://fbref.com/en/matches/d7e26ebe/Marseille-Reims-August-10-2019-Ligue-1,0,2
Ligue1,2019-2020,1,Sat,2019-08-10,20:00,Brest,1.7,2.0,Toulouse,14238,Stade Francis-Le Blé,Olivier Thual,https://fbref.com/en/matches/f7af8742/Brest-Toulouse-August-10-2019-Ligue-1,1,1
Ligue1,2019-2020,1,Sat,2019-08-10,20:00,Angers,1.4,1.0,Bordeaux,10749,Stade Raymond Kopa,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/bfb2e34e/Angers-Bordeaux-August-10-2019-Ligue-1,3,1
Ligue1,2019-2020,1,Sat,2019-08-10,20:00,Dijon,2.1,1.3,Saint-Étienne,14334,Stade Gaston Gérard,Thomas Léonard,https://fbref.com/en/matches/39bc30d4/Dijon-Saint-Etienne-August-10-2019-Ligue-1,1,2
Ligue1,2019-2020,1,Sat,2019-08-10,20:00,Montpellier,2.0,1.1,Rennes,15212,Stade de la Mosson,Willy Delajod,https://fbref.com/en/matches/14a49720/Montpellier-Rennes-August-10-2019-Ligue-1,0,1
Ligue1,2019-2020,1,Sat,2019-08-10,20:00,Nice,1.7,0.9,Amiens,17719,Stade de Nice,Jérémie Pignard,https://fbref.com/en/matches/fe79e1f7/Nice-Amiens-August-10-2019-Ligue-1,2,1
Ligue1,2019-2020,1,Sun,2019-08-11,15:00,Lille,1.5,0.7,Nantes,34494,Stade Pierre-Mauroy,Mikael Lesage,https://fbref.com/en/matches/aa2721a9/Lille-Nantes-August-11-2019-Ligue-1,2,1
Ligue1,2019-2020,1,Sun,2019-08-11,17:00,Strasbourg,1.3,0.7,Metz,25476,Stade de la Meinau,Antony Gautier,https://fbref.com/en/matches/1bf2a0be/Strasbourg-Metz-August-11-2019-Ligue-1,1,1
Ligue1,2019-2020,1,Sun,2019-08-11,21:00,Paris S-G,3.0,0.3,Nîmes,47151,Parc des Princes,Clément Turpin,https://fbref.com/en/matches/df55c5ac/Paris-Saint-Germain-Nimes-August-11-2019-Ligue-1,3,0
Ligue1,2019-2020,2,Fri,2019-08-16,20:45,Lyon,1.3,0.3,Angers,49871,Groupama Stadium,Benoît Millot,https://fbref.com/en/matches/7e480f83/Lyon-Angers-August-16-2019-Ligue-1,6,0
Ligue1,2019-2020,2,Sat,2019-08-17,17:30,Nantes,0.6,1.1,Marseille,34832,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,https://fbref.com/en/matches/94f0a534/Nantes-Marseille-August-17-2019-Ligue-1,0,0
Ligue1,2019-2020,2,Sat,2019-08-17,20:00,Nîmes,1.2,1.6,Nice,13243,Stade des Costières,François Letexier,https://fbref.com/en/matches/1b36cd8c/Nimes-Nice-August-17-2019-Ligue-1,1,2
Ligue1,2019-2020,2,Sat,2019-08-17,20:00,Metz,2.3,0.8,Monaco,19088,Stade Saint-Symphorien,Eric Wattellier,https://fbref.com/en/matches/b7a31a51/Metz-Monaco-August-17-2019-Ligue-1,3,0
Ligue1,2019-2020,2,Sat,2019-08-17,20:00,Bordeaux,0.9,0.5,Montpellier,30192,Stade Matmut-Atlantique,Franck Schneider,https://fbref.com/en/matches/1b2b8762/Bordeaux-Montpellier-August-17-2019-Ligue-1,1,1
Ligue1,2019-2020,2,Sat,2019-08-17,20:00,Toulouse,1.9,1.3,Dijon,10583,Stadium Municipal,Ruddy Buquet,https://fbref.com/en/matches/73abe4f8/Toulouse-Dijon-August-17-2019-Ligue-1,1,0
Ligue1,2019-2020,2,Sat,2019-08-17,20:00,Amiens,1.3,0.2,Lille,12481,Stade de la Licorne,Karim Abed,https://fbref.com/en/matches/c684a52b/Amiens-Lille-August-17-2019-Ligue-1,1,0
Ligue1,2019-2020,2,Sun,2019-08-18,15:00,Saint-Étienne,1.7,0.5,Brest,28645,Stade Geoffroy-Guichard,Johan Hamel,https://fbref.com/en/matches/124576ef/Saint-Etienne-Brest-August-18-2019-Ligue-1,1,1
Ligue1,2019-2020,2,Sun,2019-08-18,17:00,Reims,0.4,0.4,Strasbourg,13714,Stade Auguste-Delaune II,Florent Batta,https://fbref.com/en/matches/d00b1b89/Reims-Strasbourg-August-18-2019-Ligue-1,0,0
Ligue1,2019-2020,2,Sun,2019-08-18,21:00,Rennes,0.8,0.7,Paris S-G,28596,Roazhon Park,Antony Gautier,https://fbref.com/en/matches/627146ef/Rennes-Paris-Saint-Germain-August-18-2019-Ligue-1,2,1
Ligue1,2019-2020,3,Sat,2019-08-24,20:00,Angers,1.4,0.1,Metz,9001,Stade Raymond Kopa,Stéphanie Frappart,https://fbref.com/en/matches/e4fd32f3/Angers-Metz-August-24-2019-Ligue-1,3,0
Ligue1,2019-2020,3,Sat,2019-08-24,20:00,Amiens,0.4,2.2,Nantes,11393,Stade de la Licorne,Jeremy Stinat,https://fbref.com/en/matches/019ca0d9/Amiens-Nantes-August-24-2019-Ligue-1,1,2
Ligue1,2019-2020,3,Sat,2019-08-24,20:00,Dijon,0.5,0.7,Bordeaux,12471,Stade Gaston Gérard,François Letexier,https://fbref.com/en/matches/66c09032/Dijon-Bordeaux-August-24-2019-Ligue-1,0,2
Ligue1,2019-2020,3,Sat,2019-08-24,20:00,Brest,0.6,0.8,Reims,13958,Stade Francis-Le Blé,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/c841eb84/Brest-Reims-August-24-2019-Ligue-1,1,0
Ligue1,2019-2020,3,Sun,2019-08-25,15:00,Monaco,3.0,1.3,Nîmes,7438,Stade Louis II.,Amaury Delerue,https://fbref.com/en/matches/19f03e54/Monaco-Nimes-August-25-2019-Ligue-1,2,2
Ligue1,2019-2020,3,Sun,2019-08-25,17:00,Strasbourg,1.8,0.4,Rennes,24951,Stade de la Meinau,Ruddy Buquet,https://fbref.com/en/matches/70cf292c/Strasbourg-Rennes-August-25-2019-Ligue-1,0,2
Ligue1,2019-2020,3,Sun,2019-08-25,21:00,Paris S-G,3.5,0.3,Toulouse,47325,Parc des Princes,Jérôme Brisard,https://fbref.com/en/matches/703db983/Paris-Saint-Germain-Toulouse-August-25-2019-Ligue-1,4,0
Ligue1,2019-2020,3,Tue,2019-08-27,19:00,Montpellier,2.0,0.8,Lyon,19387,Stade de la Mosson,Mikael Lesage,https://fbref.com/en/matches/9e7ac97e/Montpellier-Lyon-August-27-2019-Ligue-1,1,0
Ligue1,2019-2020,3,Wed,2019-08-28,19:00,Lille,2.6,0.5,Saint-Étienne,36138,Stade Pierre-Mauroy,Olivier Thual,https://fbref.com/en/matches/daacdd9f/Lille-Saint-Etienne-August-28-2019-Ligue-1,3,0
Ligue1,2019-2020,3,Wed,2019-08-28,21:00,Nice,1.5,1.6,Marseille,31825,Stade de Nice,Clément Turpin,https://fbref.com/en/matches/31f1fe75/Nice-Marseille-August-28-2019-Ligue-1,1,2
Ligue1,2019-2020,4,Fri,2019-08-30,20:45,Metz,0.4,1.5,Paris S-G,20685,Stade Saint-Symphorien,Franck Schneider,https://fbref.com/en/matches/3cc06d16/Metz-Paris-Saint-Germain-August-30-2019-Ligue-1,0,2
Ligue1,2019-2020,4,Sat,2019-08-31,17:30,Lyon,0.8,1.1,Bordeaux,52327,Groupama Stadium,Antony Gautier,https://fbref.com/en/matches/4452848d/Lyon-Bordeaux-August-31-2019-Ligue-1,1,1
Ligue1,2019-2020,4,Sat,2019-08-31,20:00,Angers,1.0,0.7,Dijon,8988,Stade Raymond Kopa,Jérémie Pignard,https://fbref.com/en/matches/d4fa9051/Angers-Dijon-August-31-2019-Ligue-1,2,0
Ligue1,2019-2020,4,Sat,2019-08-31,20:00,Toulouse,0.9,0.4,Amiens,10184,Stadium Municipal,Florent Batta,https://fbref.com/en/matches/2ded34e6/Toulouse-Amiens-August-31-2019-Ligue-1,2,0
Ligue1,2019-2020,4,Sat,2019-08-31,20:00,Nîmes,2.2,1.1,Brest,12488,Stade des Costières,Thomas Léonard,https://fbref.com/en/matches/dab751bc/Nimes-Brest-August-31-2019-Ligue-1,3,0
Ligue1,2019-2020,4,Sat,2019-08-31,20:00,Nantes,0.7,0.8,Montpellier,18980,Stade de la Beaujoire - Louis Fonteneau,Karim Abed,https://fbref.com/en/matches/f29c2c2f/Nantes-Montpellier-August-31-2019-Ligue-1,1,0
Ligue1,2019-2020,4,Sun,2019-09-01,15:00,Rennes,0.6,1.9,Nice,26721,Roazhon Park,Johan Hamel,https://fbref.com/en/matches/9524c5c4/Rennes-Nice-September-1-2019-Ligue-1,1,2
Ligue1,2019-2020,4,Sun,2019-09-01,15:00,Reims,1.9,1.4,Lille,14477,Stade Auguste-Delaune II,Eric Wattellier,https://fbref.com/en/matches/dcba5264/Reims-Lille-September-1-2019-Ligue-1,2,0
Ligue1,2019-2020,4,Sun,2019-09-01,17:00,Strasbourg,1.1,3.1,Monaco,24556,Stade de la Meinau,Willy Delajod,https://fbref.com/en/matches/606a237c/Strasbourg-Monaco-September-1-2019-Ligue-1,2,2
Ligue1,2019-2020,4,Sun,2019-09-01,21:00,Marseille,0.8,0.7,Saint-Étienne,44074,Orange Vélodrome,Benoît Millot,https://fbref.com/en/matches/f6f6029b/Marseille-Saint-Etienne-September-1-2019-Ligue-1,1,0
Ligue1,2019-2020,5,Fri,2019-09-13,19:00,Lille,1.4,0.7,Angers,32834,Stade Pierre-Mauroy,Ruddy Buquet,https://fbref.com/en/matches/bccd66cd/Lille-Angers-September-13-2019-Ligue-1,2,1
Ligue1,2019-2020,5,Fri,2019-09-13,20:45,Amiens,0.6,1.7,Lyon,12577,Stade de la Licorne,Benoît Bastien,https://fbref.com/en/matches/6dc14554/Amiens-Lyon-September-13-2019-Ligue-1,2,2
Ligue1,2019-2020,5,Sat,2019-09-14,17:30,Paris S-G,0.9,0.5,Strasbourg,47505,Parc des Princes,Amaury Delerue,https://fbref.com/en/matches/69c5c7cd/Paris-Saint-Germain-Strasbourg-September-14-2019-Ligue-1,1,0
Ligue1,2019-2020,5,Sat,2019-09-14,20:00,Bordeaux,1.1,1.0,Metz,14352,Stade Matmut-Atlantique,Mikael Lesage,https://fbref.com/en/matches/f373f211/Bordeaux-Metz-September-14-2019-Ligue-1,2,0
Ligue1,2019-2020,5,Sat,2019-09-14,20:00,Brest,0.4,0.3,Rennes,14937,Stade Francis-Le Blé,Clément Turpin,https://fbref.com/en/matches/01ee2ed6/Brest-Rennes-September-14-2019-Ligue-1,0,0
Ligue1,2019-2020,5,Sat,2019-09-14,20:00,Dijon,0.9,0.5,Nîmes,11413,Stade Gaston Gérard,Stéphanie Frappart,https://fbref.com/en/matches/072d3781/Dijon-Nimes-September-14-2019-Ligue-1,0,0
Ligue1,2019-2020,5,Sat,2019-09-14,20:00,Montpellier,1.5,1.3,Nice,12765,Stade de la Mosson,Olivier Thual,https://fbref.com/en/matches/0b77a4c6/Montpellier-Nice-September-14-2019-Ligue-1,2,1
Ligue1,2019-2020,5,Sun,2019-09-15,15:00,Nantes,0.4,0.6,Reims,18897,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,https://fbref.com/en/matches/40123fcd/Nantes-Reims-September-15-2019-Ligue-1,1,0
Ligue1,2019-2020,5,Sun,2019-09-15,17:00,Saint-Étienne,1.4,1.7,Toulouse,24240,Stade Geoffroy-Guichard,Jeremy Stinat,https://fbref.com/en/matches/3ead5324/Saint-Etienne-Toulouse-September-15-2019-Ligue-1,2,2
Ligue1,2019-2020,5,Sun,2019-09-15,21:00,Monaco,2.8,1.9,Marseille,9147,Stade Louis II.,Antony Gautier,https://fbref.com/en/matches/2348f37e/Monaco-Marseille-September-15-2019-Ligue-1,3,4
Ligue1,2019-2020,6,Fri,2019-09-20,20:45,Strasbourg,2.2,0.6,Nantes,24013,Stade de la Meinau,Florent Batta,https://fbref.com/en/matches/357bae1b/Strasbourg-Nantes-September-20-2019-Ligue-1,2,1
Ligue1,2019-2020,6,Sat,2019-09-21,17:30,Marseille,1.5,0.1,Montpellier,48007,Orange Vélodrome,Amaury Delerue,https://fbref.com/en/matches/e8bd7cc9/Marseille-Montpellier-September-21-2019-Ligue-1,1,1
Ligue1,2019-2020,6,Sat,2019-09-21,20:00,Metz,1.5,1.5,Amiens,15106,Stade Saint-Symphorien,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/b3a13bef/Metz-Amiens-September-21-2019-Ligue-1,1,2
