League,Season,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
SerieA,2020-2021,1,Sat,2020-09-19,18:00,Fiorentina,1.9,0.6,Torino,,Stadio Artemio Franchi,Rosario Abisso,https://fbref.com/en/matches/34e95e35/Fiorentina-Torino-September-19-2020-Serie-A,1,0
SerieA,2020-2021,1,Sat,2020-09-19,20:45,Hellas Verona,1.3,1.7,Roma,,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,https://fbref.com/en/matches/e0a20cfe/Hellas-Verona-Roma-September-19-2020-Serie-A,3,0
SerieA,2020-2021,1,Sun,2020-09-20,12:30,Parma,0.2,1.6,Napoli,1000,Stadio Ennio Tardini,Maurizio Mariani,https://fbref.com/en/matches/a3e10e13/Parma-Napoli-September-20-2020-Serie-A,0,2
SerieA,2020-2021,1,Sun,2020-09-20,15:00,Genoa,2.0,1.2,Crotone,,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,https://fbref.com/en/matches/640f64f3/Genoa-Crotone-September-20-2020-Serie-A,4,1
SerieA,2020-2021,1,Sun,2020-09-20,18:00,Sassuolo,2.3,1.0,Cagliari,850,Stadio Città del Tricolore,Livio Marinelli,https://fbref.com/en/matches/e2711951/Sassuolo-Cagliari-September-20-2020-Serie-A,1,1
SerieA,2020-2021,1,Sun,2020-09-20,20:45,Juventus,2.4,0.8,Sampdoria,1000,Allianz Stadium,Marco Piccinini,https://fbref.com/en/matches/bd0688ef/Juventus-Sampdoria-September-20-2020-Serie-A,3,0
SerieA,2020-2021,1,Mon,2020-09-21,20:45,Milan,2.9,0.9,Bologna,1000,Stadio Giuseppe Meazza,Federico La Penna,https://fbref.com/en/matches/3019a52b/Milan-Bologna-September-21-2020-Serie-A,2,0
SerieA,2020-2021,2,Sat,2020-09-26,15:00,Torino,0.7,1.6,Atalanta,1000,Stadio Olimpico di Torino,Massimiliano Irrati,https://fbref.com/en/matches/63e992fa/Torino-Atalanta-September-26-2020-Serie-A,2,4
SerieA,2020-2021,2,Sat,2020-09-26,18:00,Cagliari,1.0,2.1,Lazio,1000,Sardegna Arena,Davide Massa,https://fbref.com/en/matches/68fb3c72/Cagliari-Lazio-September-26-2020-Serie-A,0,2
SerieA,2020-2021,2,Sat,2020-09-26,18:00,Sampdoria,1.6,1.2,Benevento,1000,Stadio Comunale Luigi Ferraris,Federico Dionisi,https://fbref.com/en/matches/0505790f/Sampdoria-Benevento-September-26-2020-Serie-A,2,3
SerieA,2020-2021,2,Sat,2020-09-26,20:45,Inter,2.8,2.5,Fiorentina,1000,Stadio Giuseppe Meazza,Giampaolo Calvarese,https://fbref.com/en/matches/87f435d8/Internazionale-Fiorentina-September-26-2020-Serie-A,4,3
