League,Season,Round,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
Bundesliga,2018-2019,Regular Season,1,Fri,2018-08-24,20:30,Bayern Munich,2.8,0.9,Hoffenheim,75000,Allianz Arena,Bastian Dankert,https://fbref.com/en/matches/2d71c150/Bayern-Munich-Hoffenheim-August-24-2018-Bundesliga,3,1
Bundesliga,2018-2019,Regular Season,1,Sat,2018-08-25,15:30,Düsseldorf,1.3,1.3,Augsburg,40996,Merkur Spielarena,Markus Schmidt,https://fbref.com/en/matches/05a8c375/Dusseldorf-Augsburg-August-25-2018-Bundesliga,1,2
Bundesliga,2018-2019,Regular Season,1,Sat,2018-08-25,15:30,Hertha BSC,1.4,1.3,Nürnberg,52729,Olympiastadion Berlin,Tobias Welz,https://fbref.com/en/matches/192de586/Hertha-BSC-Nurnberg-August-25-2018-Bundesliga,1,0
Bundesliga,2018-2019,Regular Season,1,Sat,2018-08-25,15:30,Wolfsburg,1.3,1.4,Schalke 04,26621,Volkswagen Arena,Patrick Ittrich,https://fbref.com/en/matches/68b2ba8a/Wolfsburg-Schalke-04-August-25-2018-Bundesliga,2,1
Bundesliga,2018-2019,Regular Season,1,Sat,2018-08-25,15:30,Werder Bremen,1.8,1.0,Hannover 96,42100,Weserstadion,Felix Brych,https://fbref.com/en/matches/3c44775e/Werder-Bremen-Hannover-96-August-25-2018-Bundesliga,1,1
Bundesliga,2018-2019,Regular Season,1,Sat,2018-08-25,15:30,Freiburg,2.0,0.9,Eint Frankfurt,24000,Schwarzwald-Stadion,Manuel Gräfe,https://fbref.com/en/matches/9c4f1720/Freiburg-Eintracht-Frankfurt-August-25-2018-Bundesliga,0,2
Bundesliga,2018-2019,Regular Season,1,Sat,2018-08-25,18:30,M'Gladbach,4.1,1.4,Leverkusen,53087,Stadion im Borussia-Park,Christian Dingert,https://fbref.com/en/matches/96b00eb9/Monchengladbach-Bayer-Leverkusen-August-25-2018-Bundesliga,2,0
Bundesliga,2018-2019,Regular Season,1,Sun,2018-08-26,15:30,Mainz 05,1.1,1.0,Stuttgart,28705,Opel Arena,Daniel Siebert,https://fbref.com/en/matches/ab725d34/Mainz-05-Stuttgart-August-26-2018-Bundesliga,1,0
Bundesliga,2018-2019,Regular Season,1,Sun,2018-08-26,18:00,Dortmund,1.0,1.6,RB Leipzig,80365,Signal Iduna Park,Deniz Aytekin,https://fbref.com/en/matches/fbbdd6b2/Dortmund-RB-Leipzig-August-26-2018-Bundesliga,4,1
Bundesliga,2018-2019,Regular Season,2,Fri,2018-08-31,20:30,Hannover 96,0.8,0.7,Dortmund,49000,HDI-Arena,Felix Zwayer,https://fbref.com/en/matches/00328c4a/Hannover-96-Dortmund-August-31-2018-Bundesliga,0,0
Bundesliga,2018-2019,Regular Season,2,Sat,2018-09-01,15:30,Eint Frankfurt,1.2,1.7,Werder Bremen,50000,Commerzbank-Arena,Sören Storks,https://fbref.com/en/matches/4d495618/Eintracht-Frankfurt-Werder-Bremen-September-1-2018-Bundesliga,1,2
