League,Season,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
Bundesliga,2020-2021,1,Fri,2020-09-18,20:30,Bayern Munich,5.1,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,8,0
Bundesliga,2020-2021,1,Sat,2020-09-19,15:30,Köln,2.1,3.1,Hoffenheim,,RheinEnergieSTADION,Daniel Siebert,https://fbref.com/en/matches/4504b4a4/Koln-Hoffenheim-September-19-2020-Bundesliga,2,3
Bundesliga,2020-2021,1,Sat,2020-09-19,15:30,Eint Frankfurt,1.6,1.0,Arminia,6500,Commerzbank-Arena,Benjamin Brand,https://fbref.com/en/matches/e10b719d/Eintracht-Frankfurt-Arminia-September-19-2020-Bundesliga,1,1
Bundesliga,2020-2021,1,Sat,2020-09-19,15:30,Werder Bremen,1.0,2.1,Hertha BSC,8400,Weserstadion,Sascha Stegemann,https://fbref.com/en/matches/dd3427f7/Werder-Bremen-Hertha-BSC-September-19-2020-Bundesliga,1,4
Bundesliga,2020-2021,1,Sat,2020-09-19,15:30,Union Berlin,1.3,1.1,Augsburg,4600,Stadion An der Alten Försterei,Marco Fritz,https://fbref.com/en/matches/74ee6b62/Union-Berlin-Augsburg-September-19-2020-Bundesliga,1,3
Bundesliga,2020-2021,1,Sat,2020-09-19,15:30,Stuttgart,3.1,2.0,Freiburg,7123,Mercedes-Benz Arena,Benjamin Cortus,https://fbref.com/en/matches/8dd8f0c2/Stuttgart-Freiburg-September-19-2020-Bundesliga,2,3
Bundesliga,2020-2021,1,Sat,2020-09-19,18:30,Dortmund,1.6,0.6,M'Gladbach,9300,Signal Iduna Park,Felix Brych,https://fbref.com/en/matches/991d308f/Dortmund-Monchengladbach-September-19-2020-Bundesliga,3,0
Bundesliga,2020-2021,1,Sun,2020-09-20,15:30,RB Leipzig,2.8,1.2,Mainz 05,8500,Red Bull Arena,Manuel Gräfe,https://fbref.com/en/matches/101ecf68/RB-Leipzig-Mainz-05-September-20-2020-Bundesliga,3,1
Bundesliga,2020-2021,1,Sun,2020-09-20,18:00,Wolfsburg,1.0,0.7,Leverkusen,,Volkswagen Arena,Sven Jablonski,https://fbref.com/en/matches/53a856bf/Wolfsburg-Bayer-Leverkusen-September-20-2020-Bundesliga,0,0
Bundesliga,2020-2021,2,Fri,2020-09-25,20:30,Hertha BSC,1.1,1.7,Eint Frankfurt,4000,Olympiastadion Berlin,Bastian Dankert,https://fbref.com/en/matches/8c8f082f/Hertha-BSC-Eintracht-Frankfurt-September-25-2020-Bundesliga,1,3
Bundesliga,2020-2021,2,Sat,2020-09-26,15:30,Mainz 05,1.2,2.7,Stuttgart,3403,Opel Arena,Daniel Schlager,https://fbref.com/en/matches/e2a3b864/Mainz-05-Stuttgart-September-26-2020-Bundesliga,1,4
