League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2014-2015,1,Patrick van Aanholt,nl NED,DF,Sunderland,23,1990,28,26,"2,307",25.6,0,5,0,0,0,4,0
EPL,2014-2015,2,Rolando Aarons,eng ENG,MF,Newcastle Utd,18,1995,4,0,132,1.5,1,0,1,0,0,1,0
EPL,2014-2015,3,Mehdi Abeid,dz ALG,MF,Newcastle Utd,21,1992,13,7,664,7.4,0,0,0,0,0,0,0
EPL,2014-2015,4,Charlie Adam,sco SCO,MF,Stoke City,28,1985,29,15,"1,511",16.8,7,1,6,1,1,5,0
EPL,2014-2015,5,Emmanuel Adebayor,tg TOG,FW,Tottenham,30,1984,13,9,813,9.0,2,1,2,0,0,1,0
EPL,2014-2015,6,Adrián,es ESP,GK,West Ham,27,1987,38,38,"3,392",37.7,0,0,,,,3,1
EPL,2014-2015,7,Gabby Agbonlahor,eng ENG,"FW,MF",Aston Villa,27,1986,34,30,"2,693",29.9,6,1,6,0,0,7,1
EPL,2014-2015,8,Sergio Agüero,ar ARG,FW,Manchester City,26,1988,33,30,"2,531",28.1,26,8,21,5,6,4,0
EPL,2014-2015,9,Nathan Aké,nl NED,"DF,MF",Chelsea,19,1995,1,0,18,0.2,0,0,0,0,0,0,0
EPL,2014-2015,10,Chuba Akpom,eng ENG,FW,Arsenal,18,1995,3,0,30,0.3,0,0,0,0,0,0,0
EPL,2014-2015,11,Marc Albrighton,eng ENG,"FW,MF",Leicester City,24,1989,18,10,"1,031",11.5,2,3,2,0,0,3,0
EPL,2014-2015,12,Antolín Alcaraz,py PAR,DF,Everton,32,1982,8,6,527,5.9,0,0,0,0,0,2,1
EPL,2014-2015,13,Toby Alderweireld,be BEL,DF,Southampton,25,1989,26,26,"2,261",25.1,1,0,1,0,0,3,0
EPL,2014-2015,14,Joe Allen,wal WAL,MF,Liverpool,24,1990,21,16,"1,470",16.3,1,0,1,0,0,3,0
EPL,2014-2015,15,Jak Alnwick,eng ENG,GK,Newcastle Utd,21,1993,6,5,495,5.5,0,0,0,0,0,0,0
EPL,2014-2015,16,Jozy Altidore,us USA,FW,Sunderland,24,1989,11,2,311,3.5,0,0,0,0,0,0,0
