League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,Matches
EPL,2015-2016,1,Patrick van Aanholt,nl NED,DF,Sunderland,24,1990,https://fbref.com/en/players/5f09991f/matchlogs/2015-2016/summary/Patrick-van-Aanholt-Match-Logs
EPL,2015-2016,2,Rolando Aarons,eng ENG,"DF,MF",Newcastle Utd,19,1995,https://fbref.com/en/players/c5942695/matchlogs/2015-2016/summary/Rolando-Aarons-Match-Logs
EPL,2015-2016,3,Almen Abdi,ch SUI,MF,Watford,28,1986,https://fbref.com/en/players/8d425d84/matchlogs/2015-2016/summary/Almen-Abdi-Match-Logs
EPL,2015-2016,4,Tammy Abraham,eng ENG,FW,Chelsea,17,1997,https://fbref.com/en/players/f586779e/matchlogs/2015-2016/summary/Tammy-Abraham-Match-Logs
EPL,2015-2016,5,Charlie Adam,sco SCO,MF,Stoke City,29,1985,https://fbref.com/en/players/aff418dc/matchlogs/2015-2016/summary/Charlie-Adam-Match-Logs
EPL,2015-2016,6,Emmanuel Adebayor,tg TOG,FW,Crystal Palace,31,1984,https://fbref.com/en/players/936d9e3e/matchlogs/2015-2016/summary/Emmanuel-Adebayor-Match-Logs
EPL,2015-2016,7,Adrián,es ESP,GK,West Ham,28,1987,https://fbref.com/en/players/f76e6b4e/matchlogs/2015-2016/summary/Adrian-Match-Logs
EPL,2015-2016,8,Ibrahim Afellay,nl NED,MF,Stoke City,29,1986,https://fbref.com/en/players/9a8c6673/matchlogs/2015-2016/summary/Ibrahim-Afellay-Match-Logs
EPL,2015-2016,9,Benik Afobe,cd COD,FW,Bournemouth,22,1993,https://fbref.com/en/players/b63f4077/matchlogs/2015-2016/summary/Benik-Afobe-Match-Logs
EPL,2015-2016,10,Gabby Agbonlahor,eng ENG,FW,Aston Villa,28,1986,https://fbref.com/en/players/db80f5f1/matchlogs/2015-2016/summary/Gabby-Agbonlahor-Match-Logs
EPL,2015-2016,11,Sergio Agüero,ar ARG,FW,Manchester City,27,1988,https://fbref.com/en/players/4d034881/matchlogs/2015-2016/summary/Sergio-Aguero-Match-Logs
EPL,2015-2016,12,Nathan Aké,nl NED,DF,Watford,20,1995,https://fbref.com/en/players/eaeca114/matchlogs/2015-2016/summary/Nathan-Ake-Match-Logs
EPL,2015-2016,13,Marc Albrighton,eng ENG,MF,Leicester City,25,1989,https://fbref.com/en/players/b827d5b3/matchlogs/2015-2016/summary/Marc-Albrighton-Match-Logs
EPL,2015-2016,14,Toby Alderweireld,be BEL,DF,Tottenham,26,1989,https://fbref.com/en/players/f7d50789/matchlogs/2015-2016/summary/Toby-Alderweireld-Match-Logs
EPL,2015-2016,15,Joe Allen,wal WAL,MF,Liverpool,25,1990,https://fbref.com/en/players/9feb8f24/matchlogs/2015-2016/summary/Joe-Allen-Match-Logs
EPL,2015-2016,16,Dele Alli,eng ENG,MF,Tottenham,19,1996,https://fbref.com/en/players/cea4ee8f/matchlogs/2015-2016/summary/Dele-Alli-Match-Logs
EPL,2015-2016,17,Ryan Allsop,eng ENG,GK,Bournemouth,23,1992,https://fbref.com/en/players/af615123/matchlogs/2015-2016/summary/Ryan-Allsop-Match-Logs
EPL,2015-2016,18,Daniel Amartey,gh GHA,DF,Leicester City,20,1994,https://fbref.com/en/players/1a4ef233/matchlogs/2015-2016/summary/Daniel-Amartey-Match-Logs
EPL,2015-2016,19,Jordi Amat,es ESP,DF,Swansea City,23,1992,https://fbref.com/en/players/d70a2141/matchlogs/2015-2016/summary/Jordi-Amat-Match-Logs
EPL,2015-2016,20,Jordan Amavi,fr FRA,DF,Aston Villa,21,1994,https://fbref.com/en/players/22721b88/matchlogs/2015-2016/summary/Jordan-Amavi-Match-Logs
EPL,2015-2016,21,Nordin Amrabat,ma MAR,"MF,FW",Watford,28,1987,https://fbref.com/en/players/7c2a398c/matchlogs/2015-2016/summary/Nordin-Amrabat-Match-Logs
EPL,2015-2016,22,José Ángel Crespo,es ESP,FW,Aston Villa,28,1987,https://fbref.com/en/players/8ec4c2f7/matchlogs/2015-2016/summary/Jose-Angel-Crespo-Match-Logs
EPL,2015-2016,23,Victor Anichebe,ng NGA,FW,West Brom,27,1988,https://fbref.com/en/players/4aed5c19/matchlogs/2015-2016/summary/Victor-Anichebe-Match-Logs
EPL,2015-2016,24,Vurnon Anita,cw CUW,"MF,DF",Newcastle Utd,26,1989,https://fbref.com/en/players/2d368fd5/matchlogs/2015-2016/summary/Vurnon-Anita-Match-Logs
EPL,2015-2016,25,Michail Antonio,eng ENG,"MF,FW",West Ham,25,1990,https://fbref.com/en/players/ac05f970/matchlogs/2015-2016/summary/Michail-Antonio-Match-Logs
EPL,2015-2016,Rk,Player,Nation,Pos,Squad,Age,Born,Matches
EPL,2015-2016,26,Ikechi Anya,sco SCO,"MF,DF",Watford,27,1988,https://fbref.com/en/players/c55e973d/matchlogs/2015-2016/summary/Ikechi-Anya-Match-Logs
EPL,2015-2016,27,Giedrius Arlauskis,lt LTU,GK,Watford,27,1987,https://fbref.com/en/players/1858bbf7/matchlogs/2015-2016/summary/Giedrius-Arlauskis-Match-Logs
EPL,2015-2016,28,Marko Arnautović,at AUT,"MF,FW",Stoke City,26,1989,https://fbref.com/en/players/00459419/matchlogs/2015-2016/summary/Marko-Arnautovic-Match-Logs
EPL,2015-2016,29,Harry Arter,ie IRL,MF,Bournemouth,25,1989,https://fbref.com/en/players/2f4c5a52/matchlogs/2015-2016/summary/Harry-Arter-Match-Logs
EPL,2015-2016,30,Mikel Arteta,es ESP,MF,Arsenal,33,1982,https://fbref.com/en/players/d934d1e6/matchlogs/2015-2016/summary/Mikel-Arteta-Match-Logs
EPL,2015-2016,31,Charlie Austin,eng ENG,FW,Southampton,26,1989,https://fbref.com/en/players/8d228291/matchlogs/2015-2016/summary/Charlie-Austin-Match-Logs
EPL,2015-2016,32,André Ayew,gh GHA,"MF,FW",Swansea City,25,1989,https://fbref.com/en/players/5dbefa9d/matchlogs/2015-2016/summary/Andre-Ayew-Match-Logs
EPL,2015-2016,33,Jordan Ayew,gh GHA,FW,Aston Villa,23,1991,https://fbref.com/en/players/da052c14/matchlogs/2015-2016/summary/Jordan-Ayew-Match-Logs
EPL,2015-2016,34,César Azpilicueta,es ESP,DF,Chelsea,25,1989,https://fbref.com/en/players/53cad200/matchlogs/2015-2016/summary/Cesar-Azpilicueta-Match-Logs
EPL,2015-2016,35,Leandro Bacuna,cw CUW,"DF,MF",Aston Villa,23,1991,https://fbref.com/en/players/9dc69d38/matchlogs/2015-2016/summary/Leandro-Bacuna-Match-Logs
EPL,2015-2016,36,Leighton Baines,eng ENG,DF,Everton,30,1984,https://fbref.com/en/players/b18095b6/matchlogs/2015-2016/summary/Leighton-Baines-Match-Logs
EPL,2015-2016,37,Patrick Bamford,eng ENG,"FW,MF",Crystal Palace,21,1993,https://fbref.com/en/players/93feac6e/matchlogs/2015-2016/summary/Patrick-Bamford-Match-Logs
EPL,2015-2016,38,Patrick Bamford,eng ENG,FW,Norwich City,21,1993,https://fbref.com/en/players/93feac6e/matchlogs/2015-2016/summary/Patrick-Bamford-Match-Logs
EPL,2015-2016,39,Phil Bardsley,sco SCO,DF,Stoke City,30,1985,https://fbref.com/en/players/1ae30132/matchlogs/2015-2016/summary/Phil-Bardsley-Match-Logs
EPL,2015-2016,40,Ross Barkley,eng ENG,MF,Everton,21,1993,https://fbref.com/en/players/3a24769f/matchlogs/2015-2016/summary/Ross-Barkley-Match-Logs
EPL,2015-2016,41,Modou Barrow,gm GAM,"MF,FW",Swansea City,22,1992,https://fbref.com/en/players/75783f5f/matchlogs/2015-2016/summary/Modou-Barrow-Match-Logs
EPL,2015-2016,42,Gareth Barry,eng ENG,MF,Everton,34,1981,https://fbref.com/en/players/7dbbe367/matchlogs/2015-2016/summary/Gareth-Barry-Match-Logs
EPL,2015-2016,43,Kyle Bartley,eng ENG,DF,Swansea City,24,1991,https://fbref.com/en/players/18e96f64/matchlogs/2015-2016/summary/Kyle-Bartley-Match-Logs
EPL,2015-2016,44,Sébastien Bassong,cm CMR,DF,Norwich City,29,1986,https://fbref.com/en/players/0d521662/matchlogs/2015-2016/summary/Sebastien-Bassong-Match-Logs
