League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,26,1990,28,25,"2,184",24.3,0.13,0.06,0.19,0.13,0.19
EPL,2017-2018,2,Rolando Aarons,eng ENG,"FW,MF",Newcastle Utd,21,1995,4,1,139,1.5,0.11,0.00,0.11,0.11,0.11
EPL,2017-2018,3,Tammy Abraham,eng ENG,"FW,MF",Swansea City,19,1997,31,15,"1,726",19.2,0.33,0.04,0.36,0.33,0.36
EPL,2017-2018,4,Charlie Adam,sco SCO,MF,Stoke City,31,1985,11,5,411,4.6,0.31,0.28,0.59,0.15,0.42
EPL,2017-2018,5,Adrián,es ESP,GK,West Ham,30,1987,19,19,"1,710",19.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,6,Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,6,1,166,1.8,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,7,Benik Afobe,cd COD,"FW,MF",Bournemouth,24,1993,17,5,611,6.8,0.23,0.01,0.24,0.23,0.24
EPL,2017-2018,8,Sergio Agüero,ar ARG,FW,Manchester City,29,1988,25,22,"1,963",21.8,0.76,0.27,1.03,0.62,0.89
EPL,2017-2018,9,Nathan Aké,nl NED,DF,Bournemouth,22,1995,38,37,"3,353",37.3,0.07,0.05,0.11,0.07,0.11
EPL,2017-2018,10,Marc Albrighton,eng ENG,"MF,FW",Leicester City,27,1989,34,30,"2,538",28.2,0.05,0.17,0.22,0.05,0.22
EPL,2017-2018,11,Toby Alderweireld,be BEL,DF,Tottenham,28,1989,14,13,"1,178",13.1,0.05,0.02,0.07,0.05,0.07
EPL,2017-2018,12,Trent Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,19,18,"1,573",17.5,0.06,0.12,0.18,0.06,0.18
EPL,2017-2018,13,Joe Allen,wal WAL,MF,Stoke City,27,1990,36,36,"3,139",34.9,0.07,0.07,0.14,0.07,0.14
EPL,2017-2018,14,Dele Alli,eng ENG,"MF,FW",Tottenham,21,1996,36,34,"2,958",32.9,0.28,0.24,0.52,0.28,0.52
EPL,2017-2018,15,Marcos Alonso,es ESP,"DF,MF",Chelsea,26,1990,33,33,"2,855",31.7,0.13,0.07,0.20,0.13,0.20
EPL,2017-2018,16,Daniel Amartey,gh GHA,DF,Leicester City,22,1994,8,6,487,5.4,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,17,Ethan Ampadu,wal WAL,DF,Chelsea,16,2000,1,0,11,0.1,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,18,Nordin Amrabat,ma MAR,FW,Watford,30,1987,3,3,198,2.2,0.02,0.06,0.08,0.02,0.08
EPL,2017-2018,19,Michail Antonio,eng ENG,"FW,MF",West Ham,27,1990,21,16,"1,354",15.0,0.16,0.04,0.20,0.16,0.20
EPL,2017-2018,20,Scott Arfield,ca CAN,"FW,MF",Burnley,28,1988,18,15,"1,333",14.8,0.08,0.03,0.11,0.08,0.11
EPL,2017-2018,21,Marko Arnautović,at AUT,"FW,MF",West Ham,28,1989,31,28,"2,313",25.7,0.39,0.17,0.56,0.39,0.56
EPL,2017-2018,22,Harry Arter,ie IRL,MF,Bournemouth,27,1989,13,11,960,10.7,0.05,0.02,0.07,0.05,0.07
EPL,2017-2018,23,Christian Atsu,gh GHA,"MF,FW",Newcastle Utd,25,1992,28,19,"1,784",19.8,0.17,0.14,0.30,0.17,0.30
EPL,2017-2018,24,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,28,1989,13,12,"1,057",11.7,0.71,0.10,0.80,0.58,0.67
EPL,2017-2018,25,Serge Aurier,ci CIV,DF,Tottenham,24,1992,17,16,"1,429",15.9,0.04,0.11,0.15,0.04,0.15
EPL,2017-2018,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,26,Charlie Austin,eng ENG,FW,Southampton,28,1989,24,10,"1,037",11.5,0.69,0.02,0.71,0.62,0.64
EPL,2017-2018,27,André Ayew,gh GHA,"FW,MF",Swansea City,27,1989,12,10,950,10.6,0.24,0.12,0.36,0.24,0.36
EPL,2017-2018,28,André Ayew,gh GHA,"FW,MF",West Ham,27,1989,18,9,895,9.9,0.26,0.03,0.29,0.18,0.21
EPL,2017-2018,29,Jordan Ayew,gh GHA,"FW,MF",Swansea City,25,1991,36,33,"2,852",31.7,0.20,0.04,0.24,0.17,0.21
EPL,2017-2018,30,César Azpilicueta,es ESP,DF,Chelsea,27,1989,37,37,"3,330",37.0,0.04,0.09,0.12,0.04,0.12
EPL,2017-2018,31,Eric Bailly,ci CIV,DF,Manchester Utd,23,1994,13,11,"1,001",11.1,0.08,0.02,0.10,0.08,0.10
EPL,2017-2018,32,Leighton Baines,eng ENG,DF,Everton,32,1984,22,22,"1,909",21.2,0.10,0.09,0.19,0.02,0.12
EPL,2017-2018,33,Tiemoué Bakayoko,fr FRA,MF,Chelsea,22,1994,29,24,"2,126",23.6,0.15,0.02,0.17,0.15,0.17
EPL,2017-2018,34,Sam Baldock,eng ENG,"FW,MF",Brighton,28,1989,2,0,32,0.4,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,35,Beni Baningime,cd COD,MF,Everton,18,1998,8,1,198,2.2,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,36,Phil Bardsley,sco SCO,DF,Burnley,32,1985,13,13,"1,125",12.5,0.00,0.06,0.06,0.00,0.06
EPL,2017-2018,37,Ross Barkley,eng ENG,"MF,FW",Chelsea,23,1993,2,2,129,1.4,0.36,0.08,0.44,0.36,0.44
