0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,30-238,1990,20,19,"1,684",18.7,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,1.2,1.2,0.8,2.0,0.07,0.04,0.11,0.07,0.11,Matches
2,Tammy Abraham,eng ENG,FW,Chelsea,23-204,1997,20,12,"1,021",11.3,6,1,6,0,0,0,0,0.53,0.09,0.62,0.53,0.62,5.6,5.6,0.9,6.5,0.49,0.08,0.57,0.49,0.57,Matches
3,Che Adams,sco SCO,FW,Southampton,24-285,1996,31,25,"2,275",25.3,7,4,7,0,0,1,0,0.28,0.16,0.44,0.28,0.44,7.3,7.3,4.6,11.9,0.29,0.18,0.47,0.29,0.47,Matches
4,Tosin Adarabioyo,eng ENG,DF,Fulham,23-212,1997,28,28,"2,520",28.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.3,1.3,0.04,0.01,0.05,0.04,0.05,Matches
5,Adrián,es ESP,GK,Liverpool,34-111,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero,ar ARG,FW,Manchester City,32-326,1988,9,5,374,4.2,1,0,0,1,1,0,0,0.24,0.00,0.24,0.00,0.00,1.7,0.9,0.6,1.5,0.41,0.13,0.55,0.23,0.36,Matches
7,Ola Aina,ng NGA,DF,Fulham,24-198,1996,29,29,"2,513",27.9,2,1,2,0,0,2,0,0.07,0.04,0.11,0.07,0.11,0.9,0.9,1.4,2.2,0.03,0.05,0.08,0.03,0.08,Matches
8,Rayan Aït Nouri,fr FRA,DF,Wolves,19-322,2001,16,11,971,10.8,1,1,1,0,0,0,0,0.09,0.09,0.19,0.09,0.19,0.4,0.4,0.7,1.1,0.04,0.07,0.11,0.04,0.11,Matches
9,Semi Ajayi,ng NGA,DF,West Brom,27-166,1993,27,25,"2,240",24.9,2,0,2,0,0,3,1,0.08,0.00,0.08,0.08,0.08,0.7,0.7,0.1,0.7,0.03,0.00,0.03,0.03,0.03,Matches
10,Nathan Aké,nl NED,DF,Manchester City,26-065,1995,7,6,527,5.9,1,0,1,0,0,4,0,0.17,0.00,0.17,0.17,0.17,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
