League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,npxG,xA,npxG+xA
EPL,2020-2021,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,30-238,1990,20,19,"1,684",18.7,1.2,1.2,0.8,2.0
EPL,2020-2021,2,Tammy Abraham,eng ENG,FW,Chelsea,23-204,1997,20,12,"1,021",11.3,5.6,5.6,0.9,6.5
EPL,2020-2021,3,Che Adams,sco SCO,FW,Southampton,24-285,1996,31,25,"2,275",25.3,7.3,7.3,4.6,11.9
EPL,2020-2021,4,Tosin Adarabioyo,eng ENG,DF,Fulham,23-212,1997,28,28,"2,520",28.0,1.0,1.0,0.3,1.3
EPL,2020-2021,5,Adrián,es ESP,GK,Liverpool,34-111,1987,3,3,270,3.0,0.0,0.0,0.0,0.0
EPL,2020-2021,6,Sergio Agüero,ar ARG,FW,Manchester City,32-326,1988,9,5,374,4.2,1.7,0.9,0.6,1.5
EPL,2020-2021,7,Ola Aina,ng NGA,DF,Fulham,24-198,1996,29,29,"2,513",27.9,0.9,0.9,1.4,2.2
EPL,2020-2021,8,Rayan Aït Nouri,fr FRA,DF,Wolves,19-322,2001,16,11,971,10.8,0.4,0.4,0.7,1.1
EPL,2020-2021,9,Semi Ajayi,ng NGA,DF,West Brom,27-166,1993,27,25,"2,240",24.9,0.7,0.7,0.1,0.7
EPL,2020-2021,10,Nathan Aké,nl NED,DF,Manchester City,26-065,1995,7,6,527,5.9,0.1,0.1,0.0,0.1
EPL,2020-2021,11,Marc Albrighton,eng ENG,"FW,DF",Leicester City,31-157,1989,25,13,"1,378",15.3,1.1,1.1,3.5,4.6
EPL,2020-2021,12,Thiago Alcántara,es ESP,MF,Liverpool,30-013,1991,18,14,"1,328",14.8,0.5,0.5,1.4,2.0
EPL,2020-2021,13,Toby Alderweireld,be BEL,DF,Tottenham,32-053,1989,20,20,"1,790",19.9,0.7,0.7,0.2,0.9
EPL,2020-2021,14,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,26-065,1995,1,0,16,0.2,0.0,0.0,0.0,0.0
EPL,2020-2021,15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-199,1998,30,28,"2,491",27.7,2.0,2.0,5.6,7.6
EPL,2020-2021,16,Ezgjan Alioski,mk MKD,DF,Leeds United,29-071,1992,30,23,"1,966",21.8,1.3,1.3,2.2,3.5
EPL,2020-2021,17,Alisson,br BRA,GK,Liverpool,28-204,1992,27,27,"2,430",27.0,0.0,0.0,0.0,0.0
EPL,2020-2021,18,Allan,br BRA,MF,Everton,30-106,1991,18,17,"1,511",16.8,0.1,0.1,0.3,0.4
