Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2015-2016,2015-08-22,Sat,Serie A,Matchweek 1,Away,D 1–1,Roma,Hellas Verona,N,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2015-2016,2015-08-30,Sun,Serie A,Matchweek 2,Home,W 2–1,Roma,Juventus,N,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2015-2016,2015-09-12,Sat,Premier League,Matchweek 5,Home,W 1–0,Watford,Swansea City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-09-19,Sat,Premier League,Matchweek 6,Away,W 2–1,Watford,Newcastle Utd,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-09-27,Sun,Premier League,Matchweek 7,Home,L 0–1,Watford,Crystal Palace,N,,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,Match Report
2015-2016,2015-10-03,Sat,Premier League,Matchweek 8,Away,D 1–1,Watford,Bournemouth,N,,20,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,Match Report
2015-2016,2015-10-17,Sat,Premier League,Matchweek 9,Home,L 0–3,Watford,Arsenal,N,,16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,Match Report
2015-2016,2015-10-24,Sat,Premier League,Matchweek 10,Away,W 2–0,Watford,Stoke City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-10-31,Sat,Premier League,Matchweek 11,Home,W 2–0,Watford,West Ham,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-11-21,Sat,Premier League,Matchweek 13,Home,L 1–2,Watford,Manchester Utd,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-11-28,Sat,Premier League,Matchweek 14,Away,W 3–2,Watford,Aston Villa,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2016-01-09,Sat,FA Cup,Third round,Home,W 1–0,Watford,Newcastle Utd,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2016-01-13,Wed,Premier League,Matchweek 21,Away,L 0–2,Watford,Southampton,N,,23,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,Match Report
2015-2016,2016-02-07,Sun,Primera Div,Apertura Regular Season,Away,W 3–0,Nacional,Jaguares,Y,,69,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-02-13,Sat,Primera Div,Apertura Regular Season,Home,W 1–0,Nacional,Rionegro,Y,,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-2016,2016-02-23,Tue,Libertadores,Second stage,Away,W 2–0,co Nacional,ar CA Huracán,Y,FW,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2015-2016,2016-02-27,Sat,Primera Div,Apertura Regular Season,Away,W 3–0,Nacional,Once Caldas,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2016-03-01,Tue,Libertadores,Second stage,Home,W 3–0,co Nacional,pe Sporting Cristal,Y,FW,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2015-2016,2016-03-08,Tue,Libertadores,Second stage,Home,W 2–0,co Nacional,uy Peñarol,Y,FW,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2015-2016,2016-03-15,Tue,Libertadores,Second stage,Away,W 4–0,co Nacional,uy Peñarol,Y,FW,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2015-2016,2016-03-24,Thu,WCQ,WCQ — CONMEBOL (M),Away,W 3–2,co Colombia,bo Bolivia,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2016-03-29,Tue,WCQ,WCQ — CONMEBOL (M),Home,W 3–1,co Colombia,ec Ecuador,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2016-03-31,Thu,Primera Div,Apertura Regular Season,Away,L 1–2,Nacional,Millonarios,Y,,76,0,0,0,0,,,2,1,,,,,,,0,,,Match Report
2015-2016,2016-04-09,Sat,Primera Div,Apertura Regular Season,Away,D 3–3,Nacional,Junior,N,,13,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-04-12,Tue,Libertadores,Second stage,Away,W 1–0,co Nacional,pe Sporting Cristal,Y,FW,50,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2015-2016,2016-04-19,Tue,Libertadores,Second stage,Home,D 0–0,co Nacional,ar CA Huracán,Y,AM,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2015-2016,2016-04-23,Sat,Primera Div,Apertura Regular Season,Away,L 0–2,Nacional,Cortuluá,Y,,56,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-2016,2016-04-26,Tue,Libertadores,Round of 16,Away,D 0–0,co Nacional,ar CA Huracán,N,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2015-2016,2016-05-03,Tue,Libertadores,Round of 16,Home,W 4–2,co Nacional,ar CA Huracán,Y,FW,45,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2015-2016,2016-05-25,Wed,Primera Div,Apertura Regular Season,Home,W 3–0,Nacional,La Equidad,Y,,75,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-05-28,Sat,Primera Div,Apertura Regular Season,Away,W 2–0,Nacional,Pasto,Y,,64,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-06-01,Wed,Primera Div,Quarter-finals,Away,D 1–1,Nacional,Rionegro,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-06-04,Sat,Primera Div,Quarter-finals,Home,D 1 (5)–1 (4),Nacional,Rionegro,Y,,120,1,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-2016,2016-06-08,Wed,Primera Div,Semi-finals,Away,D 1–1,Nacional,Junior,N,,20,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-06-11,Sat,Primera Div,Semi-finals,Home,L 0 (2)–0 (4),Nacional,Junior,Y,,45,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
