League,Season,Round,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
Ligue1,2018-2019,Regular Season,1,Fri,2018-08-10,20:45,Marseille,2.8,0.3,Toulouse,60756,Orange Vélodrome,Ruddy Buquet,https://fbref.com/en/matches/8818bccb/Marseille-Toulouse-August-10-2018-Ligue-1,4,0
Ligue1,2018-2019,Regular Season,1,Sat,2018-08-11,17:00,Nantes,1.6,2.2,Monaco,32760,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,https://fbref.com/en/matches/cfa44f15/Nantes-Monaco-August-11-2018-Ligue-1,1,3
Ligue1,2018-2019,Regular Season,1,Sat,2018-08-11,20:00,Montpellier,2.0,2.0,Dijon,12765,Stade de la Mosson,Florent Batta,https://fbref.com/en/matches/002eb19a/Montpellier-Dijon-August-11-2018-Ligue-1,1,2
Ligue1,2018-2019,Regular Season,1,Sat,2018-08-11,20:00,Angers,2.5,1.8,Nîmes,9534,Stade Raymond Kopa,Antony Gautier,https://fbref.com/en/matches/f18b4a9b/Angers-Nimes-August-11-2018-Ligue-1,3,4
Ligue1,2018-2019,Regular Season,1,Sat,2018-08-11,20:00,Lille,1.5,0.5,Rennes,25708,Stade Pierre-Mauroy,Willy Delajod,https://fbref.com/en/matches/c19cba06/Lille-Rennes-August-11-2018-Ligue-1,3,1
Ligue1,2018-2019,Regular Season,1,Sat,2018-08-11,20:00,Nice,1.3,0.5,Reims,21421,Stade de Nice,Johan Hamel,https://fbref.com/en/matches/0446fd28/Nice-Reims-August-11-2018-Ligue-1,0,1
Ligue1,2018-2019,Regular Season,1,Sat,2018-08-11,20:00,Saint-Étienne,1.0,1.9,Guingamp,26006,Stade Geoffroy-Guichard,Amaury Delerue,https://fbref.com/en/matches/74211c45/Saint-Etienne-Guingamp-August-11-2018-Ligue-1,2,1
Ligue1,2018-2019,Regular Season,1,Sun,2018-08-12,15:00,Lyon,1.0,0.5,Amiens,48263,Groupama Stadium,Franck Schneider,https://fbref.com/en/matches/c17d091d/Lyon-Amiens-August-12-2018-Ligue-1,2,0
Ligue1,2018-2019,Regular Season,1,Sun,2018-08-12,17:00,Bordeaux,0.2,1.7,Strasbourg,23079,Stade Matmut-Atlantique,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/f134cf1e/Bordeaux-Strasbourg-August-12-2018-Ligue-1,0,2
Ligue1,2018-2019,Regular Season,1,Sun,2018-08-12,21:00,Paris S-G,2.8,0.2,Caen,47289,Parc des Princes,Benoît Bastien,https://fbref.com/en/matches/ed566f34/Paris-Saint-Germain-Caen-August-12-2018-Ligue-1,3,0
Ligue1,2018-2019,Regular Season,2,Fri,2018-08-17,20:45,Reims,0.6,2.1,Lyon,18917,Stade Auguste-Delaune II,Ruddy Buquet,https://fbref.com/en/matches/ff766777/Reims-Lyon-August-17-2018-Ligue-1,1,0
Ligue1,2018-2019,Regular Season,2,Sat,2018-08-18,17:00,Guingamp,1.1,2.2,Paris S-G,19003,Stade du Roudourou,Clément Turpin,https://fbref.com/en/matches/6f2eb060/Guingamp-Paris-Saint-Germain-August-18-2018-Ligue-1,1,3
Ligue1,2018-2019,Regular Season,2,Sat,2018-08-18,20:00,Caen,1.3,0.8,Nice,16132,Stade Michel d'Ornano,Eric Wattellier,https://fbref.com/en/matches/8e87e498/Caen-Nice-August-18-2018-Ligue-1,1,1
