League,Season,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
Ligue1,2020-2021,1,Fri,2020-08-21,19:00,Bordeaux,0.4,0.3,Nantes,,Stade Matmut-Atlantique,Benoît Bastien,https://fbref.com/en/matches/c0996cac/Bordeaux-Nantes-August-21-2020-Ligue-1,0,0
Ligue1,2020-2021,1,Sat,2020-08-22,17:00,Dijon,0.5,2.1,Angers,,Stade Gaston Gérard,Eric Wattellier,https://fbref.com/en/matches/9cbccb37/Dijon-Angers-August-22-2020-Ligue-1,0,1
Ligue1,2020-2021,1,Sat,2020-08-22,21:00,Lille,0.5,1.4,Rennes,3975,Stade Pierre-Mauroy,Clément Turpin,https://fbref.com/en/matches/50ec2fcc/Lille-Rennes-August-22-2020-Ligue-1,1,1
Ligue1,2020-2021,1,Sun,2020-08-23,13:00,Monaco,2.0,1.3,Reims,,Stade Louis II.,François Letexier,https://fbref.com/en/matches/b3bddcc0/Monaco-Reims-August-23-2020-Ligue-1,2,2
Ligue1,2020-2021,1,Sun,2020-08-23,15:00,Nîmes,1.1,0.4,Brest,,Stade des Costières,Jérémie Pignard,https://fbref.com/en/matches/da8136ae/Nimes-Brest-August-23-2020-Ligue-1,4,0
Ligue1,2020-2021,1,Sun,2020-08-23,15:00,Lorient,2.8,0.5,Strasbourg,,Stade Yves Allainmat - Le Moustoir,Johan Hamel,https://fbref.com/en/matches/f96cd5a0/Lorient-Strasbourg-August-23-2020-Ligue-1,3,1
Ligue1,2020-2021,1,Sun,2020-08-23,17:00,Nice,0.2,2.5,Lens,,Stade de Nice,Jérôme Miguelgorry,https://fbref.com/en/matches/b08ae3b2/Nice-Lens-August-23-2020-Ligue-1,2,1
Ligue1,2020-2021,2,Fri,2020-08-28,21:00,Lyon,4.8,0.4,Dijon,,Groupama Stadium,Benoît Millot,https://fbref.com/en/matches/7512406f/Lyon-Dijon-August-28-2020-Ligue-1,4,1
Ligue1,2020-2021,2,Sat,2020-08-29,17:00,Rennes,1.9,0.5,Montpellier,,Roazhon Park,Willy Delajod,https://fbref.com/en/matches/1ec60fe6/Rennes-Montpellier-August-29-2020-Ligue-1,2,1
Ligue1,2020-2021,2,Sat,2020-08-29,21:00,Strasbourg,0.2,1.4,Nice,,Stade de la Meinau,Jérôme Brisard,https://fbref.com/en/matches/a271affc/Strasbourg-Nice-August-29-2020-Ligue-1,0,2
Ligue1,2020-2021,2,Sun,2020-08-30,13:00,Reims,0.2,1.1,Lille,,Stade Auguste-Delaune II,Stéphanie Frappart,https://fbref.com/en/matches/c25931b4/Reims-Lille-August-30-2020-Ligue-1,0,1
Ligue1,2020-2021,2,Sun,2020-08-30,15:00,Angers,0.9,2.1,Bordeaux,,Stade Raymond Kopa,Karim Abed,https://fbref.com/en/matches/db69f933/Angers-Bordeaux-August-30-2020-Ligue-1,0,2
Ligue1,2020-2021,2,Sun,2020-08-30,15:00,Saint-Étienne,1.3,0.2,Lorient,,Stade Geoffroy-Guichard,Florent Batta,https://fbref.com/en/matches/9b7fa4e1/Saint-Etienne-Lorient-August-30-2020-Ligue-1,2,0
Ligue1,2020-2021,2,Sun,2020-08-30,15:00,Metz,0.7,0.3,Monaco,4463,Stade Saint-Symphorien,Jeremy Stinat,https://fbref.com/en/matches/02d4a6a1/Metz-Monaco-August-30-2020-Ligue-1,0,1
Ligue1,2020-2021,2,Sun,2020-08-30,15:00,Nantes,2.3,1.4,Nîmes,,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/ba09751a/Nantes-Nimes-August-30-2020-Ligue-1,2,1
Ligue1,2020-2021,2,Sun,2020-08-30,21:00,Brest,2.7,1.4,Marseille,,Stade Francis-Le Blé,Amaury Delerue,https://fbref.com/en/matches/f5d3ffde/Brest-Marseille-August-30-2020-Ligue-1,2,3
Ligue1,2020-2021,2,Thu,2020-09-10,21:00,Lens,1.4,0.6,Paris S-G,,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/796787da/Lens-Paris-Saint-Germain-September-10-2020-Ligue-1,1,0
Ligue1,2020-2021,3,Fri,2020-09-11,21:00,Bordeaux,0.2,2.2,Lyon,,Stade Matmut-Atlantique,Ruddy Buquet,https://fbref.com/en/matches/c39f66b9/Bordeaux-Lyon-September-11-2020-Ligue-1,0,0
