League,Season,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
SerieA,2017-2018,1,Sat,2017-08-19,18:00,Juventus,1.2,1.4,Cagliari,39226,Allianz Stadium,Fabio Maresca,https://fbref.com/en/matches/c6005f97/Juventus-Cagliari-August-19-2017-Serie-A,3,0
SerieA,2017-2018,1,Sat,2017-08-19,20:45,Hellas Verona,1.5,1.7,Napoli,15215,Stadio Marc'Antonio Bentegodi,Michael Fabbri,https://fbref.com/en/matches/3a95d279/Hellas-Verona-Napoli-August-19-2017-Serie-A,1,3
SerieA,2017-2018,1,Sun,2017-08-20,18:00,Atalanta,1.6,0.3,Roma,19108,Stadio Atleti Azzurri d'Italia,Piero Giacomelli,https://fbref.com/en/matches/634f9715/Atalanta-Roma-August-20-2017-Serie-A,0,1
SerieA,2017-2018,1,Sun,2017-08-20,20:45,Sampdoria,2.1,1.3,Benevento,19223,Stadio Comunale Luigi Ferraris,Fabrizio Pasqua,https://fbref.com/en/matches/9456e693/Sampdoria-Benevento-August-20-2017-Serie-A,2,1
SerieA,2017-2018,1,Sun,2017-08-20,20:45,Crotone,0.6,2.2,Milan,13478,Stadio Ezio Scida,Maurizio Mariani,https://fbref.com/en/matches/9bd2e3b1/Crotone-Milan-August-20-2017-Serie-A,0,3
SerieA,2017-2018,1,Sun,2017-08-20,20:45,Bologna,0.8,0.4,Torino,19033,Stadio Renato Dall'Ara,Davide Massa,https://fbref.com/en/matches/7697c084/Bologna-Torino-August-20-2017-Serie-A,1,1
SerieA,2017-2018,1,Sun,2017-08-20,20:45,Udinese,0.9,0.7,Chievo,13000,Dacia Arena,Claudio Gavillucci,https://fbref.com/en/matches/41ef2446/Udinese-Chievo-August-20-2017-Serie-A,1,2
SerieA,2017-2018,1,Sun,2017-08-20,20:45,Inter,2.6,0.6,Fiorentina,51752,Stadio Giuseppe Meazza,Paolo Tagliavento,https://fbref.com/en/matches/607c6fb5/Internazionale-Fiorentina-August-20-2017-Serie-A,3,0
SerieA,2017-2018,1,Sun,2017-08-20,20:45,Sassuolo,0.6,1.1,Genoa,8134,Stadio Città del Tricolore,Antonio Damato,https://fbref.com/en/matches/eafae14e/Sassuolo-Genoa-August-20-2017-Serie-A,0,0
SerieA,2017-2018,1,Sun,2017-08-20,20:45,Lazio,1.2,0.8,SPAL,25000,Stadio Olimpico,Rosario Abisso,https://fbref.com/en/matches/c91aae8f/Lazio-SPAL-August-20-2017-Serie-A,0,0
SerieA,2017-2018,2,Sat,2017-08-26,18:00,Benevento,1.5,1.3,Bologna,11054,Stadio Ciro Vigorito,Giampaolo Calvarese,https://fbref.com/en/matches/cc6d08ce/Benevento-Bologna-August-26-2017-Serie-A,0,1
SerieA,2017-2018,2,Sat,2017-08-26,18:00,Genoa,1.3,1.8,Juventus,26296,Stadio Comunale Luigi Ferraris,Luca Banti,https://fbref.com/en/matches/bcf8af9e/Genoa-Juventus-August-26-2017-Serie-A,2,4
SerieA,2017-2018,2,Sat,2017-08-26,20:45,Roma,1.3,2.6,Inter,49388,Stadio Olimpico,Massimiliano Irrati,https://fbref.com/en/matches/b8f79753/Roma-Internazionale-August-26-2017-Serie-A,1,3
SerieA,2017-2018,2,Sun,2017-08-27,18:00,Torino,2.3,0.9,Sassuolo,18289,Stadio Olimpico di Torino,Paolo Mazzoleni,https://fbref.com/en/matches/35ece6cc/Torino-Sassuolo-August-27-2017-Serie-A,3,0
SerieA,2017-2018,2,Sun,2017-08-27,20:45,Chievo,1.0,0.6,Lazio,10000,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,https://fbref.com/en/matches/fe1b3ecb/Chievo-Lazio-August-27-2017-Serie-A,1,2
SerieA,2017-2018,2,Sun,2017-08-27,20:45,SPAL,1.5,1.3,Udinese,11000,Stadio Paolo Mazza,Paolo Valeri,https://fbref.com/en/matches/588d7ade/SPAL-Udinese-August-27-2017-Serie-A,3,2
SerieA,2017-2018,2,Sun,2017-08-27,20:45,Napoli,1.3,1.1,Atalanta,35102,Stadio San Paolo,Marco Di Bello,https://fbref.com/en/matches/5ad1604c/Napoli-Atalanta-August-27-2017-Serie-A,3,1
SerieA,2017-2018,2,Sun,2017-08-27,20:45,Fiorentina,2.7,2.5,Sampdoria,25611,Stadio Artemio Franchi,Daniele Doveri,https://fbref.com/en/matches/c0a267bc/Fiorentina-Sampdoria-August-27-2017-Serie-A,1,2
SerieA,2017-2018,2,Sun,2017-08-27,20:45,Milan,1.1,0.9,Cagliari,49525,Stadio Giuseppe Meazza,Luca Pairetto,https://fbref.com/en/matches/75ebe4c6/Milan-Cagliari-August-27-2017-Serie-A,2,1
SerieA,2017-2018,2,Sun,2017-08-27,20:45,Crotone,1.1,0.2,Hellas Verona,9158,Stadio Ezio Scida,Marco Guida,https://fbref.com/en/matches/637558a1/Crotone-Hellas-Verona-August-27-2017-Serie-A,0,0
SerieA,2017-2018,3,Sat,2017-09-09,18:00,Juventus,1.4,0.7,Chievo,39457,Allianz Stadium,Michael Fabbri,https://fbref.com/en/matches/1025d70b/Juventus-Chievo-September-9-2017-Serie-A,3,0
SerieA,2017-2018,3,Sun,2017-09-10,12:30,Inter,2.0,0.7,SPAL,57235,Stadio Giuseppe Meazza,Claudio Gavillucci,https://fbref.com/en/matches/8815cfb6/Internazionale-SPAL-September-10-2017-Serie-A,2,0
SerieA,2017-2018,3,Sun,2017-09-10,15:00,Hellas Verona,0.9,3.3,Fiorentina,18181,Stadio Marc'Antonio Bentegodi,Antonio Damato,https://fbref.com/en/matches/e337b2c7/Hellas-Verona-Fiorentina-September-10-2017-Serie-A,0,5
SerieA,2017-2018,3,Sun,2017-09-10,15:00,Cagliari,1.5,0.5,Crotone,14076,Stadio Sant'Elia,Daniele Doveri,https://fbref.com/en/matches/434dd57a/Cagliari-Crotone-September-10-2017-Serie-A,1,0
SerieA,2017-2018,3,Sun,2017-09-10,15:00,Udinese,1.4,0.8,Genoa,2370,Dacia Arena,Fabio Maresca,https://fbref.com/en/matches/42c18e6c/Udinese-Genoa-September-10-2017-Serie-A,1,0
SerieA,2017-2018,3,Sun,2017-09-10,15:00,Atalanta,0.5,1.2,Sassuolo,16120,Stadio Atleti Azzurri d'Italia,Gianluca Manganiello,https://fbref.com/en/matches/5fdee516/Atalanta-Sassuolo-September-10-2017-Serie-A,2,1
SerieA,2017-2018,3,Sun,2017-09-10,16:00,Lazio,2.2,1.9,Milan,30000,Stadio Olimpico,Gianluca Rocchi,https://fbref.com/en/matches/991aafeb/Lazio-Milan-September-10-2017-Serie-A,4,1
SerieA,2017-2018,3,Sun,2017-09-10,18:00,Benevento,1.0,1.0,Torino,11416,Stadio Ciro Vigorito,Rosario Abisso,https://fbref.com/en/matches/ffc59c89/Benevento-Torino-September-10-2017-Serie-A,0,1
SerieA,2017-2018,3,Sun,2017-09-10,20:45,Bologna,0.4,2.1,Napoli,22398,Stadio Renato Dall'Ara,Piero Giacomelli,https://fbref.com/en/matches/80cb1759/Bologna-Napoli-September-10-2017-Serie-A,0,3
SerieA,2017-2018,4,Sat,2017-09-16,15:00,Crotone,0.8,0.5,Inter,13422,Stadio Ezio Scida,Luca Banti,https://fbref.com/en/matches/c1705a6c/Crotone-Internazionale-September-16-2017-Serie-A,0,2
SerieA,2017-2018,4,Sat,2017-09-16,18:00,Fiorentina,0.6,0.4,Bologna,23802,Stadio Artemio Franchi,Paolo Valeri,https://fbref.com/en/matches/a7c7efe2/Fiorentina-Bologna-September-16-2017-Serie-A,2,1
SerieA,2017-2018,4,Sat,2017-09-16,20:45,Roma,4.7,0.5,Hellas Verona,29045,Stadio Olimpico,Luca Pairetto,https://fbref.com/en/matches/04d25fa7/Roma-Hellas-Verona-September-16-2017-Serie-A,3,0
SerieA,2017-2018,4,Sun,2017-09-17,12:30,Sassuolo,1.6,1.0,Juventus,21584,Stadio Città del Tricolore,Davide Massa,https://fbref.com/en/matches/8b8a0f49/Sassuolo-Juventus-September-17-2017-Serie-A,1,3
SerieA,2017-2018,4,Sun,2017-09-17,15:00,Napoli,4.9,0.2,Benevento,49137,Stadio San Paolo,Massimiliano Irrati,https://fbref.com/en/matches/c9e2e615/Napoli-Benevento-September-17-2017-Serie-A,6,0
SerieA,2017-2018,4,Sun,2017-09-17,15:00,Torino,1.8,0.9,Sampdoria,19879,Stadio Olimpico di Torino,Paolo Tagliavento,https://fbref.com/en/matches/a72bc592/Torino-Sampdoria-September-17-2017-Serie-A,2,2
SerieA,2017-2018,4,Sun,2017-09-17,15:00,SPAL,0.7,1.0,Cagliari,10979,Stadio Paolo Mazza,Eugenio Abbattista,https://fbref.com/en/matches/483b9018/SPAL-Cagliari-September-17-2017-Serie-A,0,2
SerieA,2017-2018,4,Sun,2017-09-17,15:00,Milan,2.4,0.4,Udinese,49473,Stadio Giuseppe Meazza,Marco Guida,https://fbref.com/en/matches/c92738a9/Milan-Udinese-September-17-2017-Serie-A,2,1
SerieA,2017-2018,4,Sun,2017-09-17,18:00,Chievo,1.1,1.7,Atalanta,10000,Stadio Marc'Antonio Bentegodi,Maurizio Mariani,https://fbref.com/en/matches/9150c653/Chievo-Atalanta-September-17-2017-Serie-A,1,1
SerieA,2017-2018,4,Sun,2017-09-17,20:45,Genoa,0.3,3.4,Lazio,19065,Stadio Comunale Luigi Ferraris,Daniele Orsato,https://fbref.com/en/matches/249894c0/Genoa-Lazio-September-17-2017-Serie-A,2,3
SerieA,2017-2018,5,Tue,2017-09-19,20:45,Bologna,0.7,1.5,Inter,26067,Stadio Renato Dall'Ara,Marco Di Bello,https://fbref.com/en/matches/211de580/Bologna-Internazionale-September-19-2017-Serie-A,1,1
SerieA,2017-2018,5,Wed,2017-09-20,18:00,Benevento,1.0,2.1,Roma,14839,Stadio Ciro Vigorito,Michael Fabbri,https://fbref.com/en/matches/7774872f/Benevento-Roma-September-20-2017-Serie-A,0,4
SerieA,2017-2018,5,Wed,2017-09-20,20:45,Lazio,0.2,2.5,Napoli,28000,Stadio Olimpico,Antonio Damato,https://fbref.com/en/matches/6e58c3a7/Lazio-Napoli-September-20-2017-Serie-A,1,4
SerieA,2017-2018,5,Wed,2017-09-20,20:45,Udinese,2.2,1.4,Torino,14793,Dacia Arena,Gianluca Rocchi,https://fbref.com/en/matches/5fd718e6/Udinese-Torino-September-20-2017-Serie-A,2,3
SerieA,2017-2018,5,Wed,2017-09-20,20:45,Milan,2.2,0.1,SPAL,45343,Stadio Giuseppe Meazza,Rosario Abisso,https://fbref.com/en/matches/a5a2e924/Milan-SPAL-September-20-2017-Serie-A,2,0
SerieA,2017-2018,5,Wed,2017-09-20,20:45,Atalanta,3.2,0.5,Crotone,16378,Stadio Atleti Azzurri d'Italia,Marco Piccinini,https://fbref.com/en/matches/ba1981a2/Atalanta-Crotone-September-20-2017-Serie-A,5,1
SerieA,2017-2018,5,Wed,2017-09-20,20:45,Juventus,1.0,0.4,Fiorentina,35652,Allianz Stadium,Daniele Doveri,https://fbref.com/en/matches/df63c31b/Juventus-Fiorentina-September-20-2017-Serie-A,1,0
SerieA,2017-2018,5,Wed,2017-09-20,20:45,Hellas Verona,0.5,1.2,Sampdoria,14690,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,https://fbref.com/en/matches/32953cae/Hellas-Verona-Sampdoria-September-20-2017-Serie-A,0,0
