Season,Date,League,Team_Home,Team_Away,538Spi_Home,538Spi_Away,538Prob_Home,538Prob_Away,538Importance_Home,538Importance_Away,538xg_Home,538xg_Away
2017-2018,2017-08-04,Ligue1,AS Monaco,Toulouse,81.07,57.82,0.7184,0.1002,55.2,17.6,2.13,0.24
2017-2018,2017-08-05,Ligue1,Paris Saint-Germain,Amiens,88.47,37.61,0.9394,0.011,83.3,35.4,3.0,0.28
2017-2018,2017-08-05,Ligue1,Metz,Guingamp,52.38,57.17,0.4107,0.3334,24.2,15.5,0.61,1.54
2017-2018,2017-08-05,Ligue1,St Etienne,Nice,57.93,65.03,0.3847,0.3445,14.4,29.7,0.85,0.62
2017-2018,2017-08-05,Ligue1,Troyes,Stade Rennes,45.87,57.87,0.3353,0.3928,39.3,16.5,1.38,1.95
2017-2018,2017-08-05,Ligue1,Lyon,Strasbourg,73.57,40.71,0.803,0.0693,62.1,39.7,1.59,0.34
2017-2018,2017-08-05,Ligue1,Montpellier,Caen,56.95,53.95,0.4914,0.2556,15.6,20.2,1.56,0.32
2017-2018,2017-08-06,Ligue1,Lille,Nantes,59.9,59.23,0.464,0.2639,14.5,16.2,1.99,1.19
2017-2018,2017-08-06,Ligue1,Angers,Bordeaux,60.84,64.43,0.4189,0.3058,18.3,26.9,1.14,1.75
2017-2018,2017-08-06,Ligue1,Marseille,Dijon FCO,68.93,55.46,0.6081,0.1682,38.5,16.7,2.32,0.68
2017-2018,2017-08-11,Ligue1,Nice,Troyes,64.7,45.6,0.6636,0.1344,18.7,34.0,2.1,0.4
2017-2018,2017-08-11,Ligue1,Stade Rennes,Lyon,58.13,73.91,0.3,0.4454,16.0,55.9,0.57,1.28
2017-2018,2017-08-11,EPL,Arsenal,Leicester City,78.18,61.77,0.643,0.1563,59.9,18.8,2.62,1.19
2017-2018,2017-08-12,EPL,Watford,Liverpool,54.25,77.15,0.2193,0.5384,31.7,57.7,1.99,2.36
2017-2018,2017-08-12,EPL,West Bromwich Albion,AFC Bournemouth,56.21,58.25,0.4246,0.3019,31.4,26.4,1.26,0.45
2017-2018,2017-08-12,EPL,Southampton,Swansea City,63.35,57.72,0.5044,0.2296,18.9,25.5,2.5,0.29
2017-2018,2017-08-12,EPL,Crystal Palace,Huddersfield Town,59.47,44.57,0.6,0.1606,32.4,43.5,0.99,0.53
2017-2018,2017-08-12,EPL,Chelsea,Burnley,82.76,59.76,0.7184,0.1011,49.1,21.0,1.63,0.46
2017-2018,2017-08-12,EPL,Everton,Stoke City,67.06,60.8,0.5129,0.2283,25.8,17.0,0.64,0.38
2017-2018,2017-08-12,Ligue1,Nantes,Marseille,57.37,70.04,0.3251,0.4115,14.6,52.2,1.21,1.61
2017-2018,2017-08-12,EPL,Brighton and Hove Albion,Manchester City,47.43,84.21,0.1143,0.6987,43.7,66.2,0.38,2.33
2017-2018,2017-08-12,Ligue1,Amiens,Angers,37.93,60.42,0.2404,0.5053,41.5,13.3,0.78,1.32
2017-2018,2017-08-12,Ligue1,Bordeaux,Metz,64.93,50.81,0.6123,0.1656,26.4,23.0,1.67,0.4
2017-2018,2017-08-12,Ligue1,Toulouse,Montpellier,58.35,57.4,0.4667,0.2575,14.9,14.9,1.89,0.85
2017-2018,2017-08-12,Ligue1,Caen,St Etienne,53.43,58.13,0.4058,0.3138,26.3,16.3,0.53,1.07
2017-2018,2017-08-13,EPL,Newcastle,Tottenham Hotspur,52.0,80.29,0.1731,0.6044,32.2,58.9,0.68,2.32
2017-2018,2017-08-13,Ligue1,Strasbourg,Lille,40.28,61.77,0.2497,0.5023,42.9,20.2,3.12,1.01
2017-2018,2017-08-13,Ligue1,Dijon FCO,AS Monaco,54.2,80.78,0.1913,0.6041,19.7,55.4,0.83,1.33
2017-2018,2017-08-13,EPL,Manchester United,West Ham United,82.16,60.38,0.7051,0.0992,61.0,17.9,2.4,0.64
2017-2018,2017-08-13,Ligue1,Guingamp,Paris Saint-Germain,58.72,88.22,0.1412,0.6749,25.6,67.7,0.08,1.89
2017-2018,2017-08-18,LaLiga,Leganes,Alavés,70.0,71.22,0.4622,0.2486,22.4,27.1,1.19,1.07
2017-2018,2017-08-18,Bundesliga,Bayern Munich,Bayer Leverkusen,92.94,73.82,0.7989,0.0711,81.5,53.4,3.07,2.08
2017-2018,2017-08-18,Ligue1,Metz,AS Monaco,50.24,81.25,0.1577,0.651,30.2,51.6,0.49,1.8
2017-2018,2017-08-18,LaLiga,Valencia,Las Palmas,70.76,63.07,0.5699,0.2025,27.1,29.7,1.47,0.21
2017-2018,2017-08-19,EPL,Swansea City,Manchester United,56.94,82.92,0.1782,0.5796,28.2,60.7,0.4,3.44
2017-2018,2017-08-19,Bundesliga,VfL Wolfsburg,Borussia Dortmund,69.63,85.54,0.2583,0.5029,36.4,54.5,0.7,1.06
2017-2018,2017-08-19,Bundesliga,Mainz,Hannover 96,67.64,52.99,0.602,0.1561,26.7,38.4,0.64,0.7
2017-2018,2017-08-19,Bundesliga,TSG Hoffenheim,Werder Bremen,74.64,69.66,0.5157,0.25,48.7,43.4,0.75,0.9
