League,Season,Date,Team_Home,FBREFPossession_Home,FBREFSave%_Home,Goals_Home,FBREFAst_Home,FBREFPK_Home,FBREFPKatt_Home,FBREFSh_Home,FBREFSoT_Home,FBREFCrdY_Home,FBREFCrdR_Home,FBREFxg_Home,FBREFxa_Home,FBREFSCA_Home,FBREFGCA_Home,Team_Away,FBREFPossession_Away,FBREFSave%_Away,Goals_Away,FBREFAst_Away,FBREFPK_Away,FBREFPKatt_Away,FBREFSh_Away,FBREFSoT_Away,FBREFCrdY_Away,FBREFCrdR_Away,FBREFxg_away,FBREFxa_Away,FBREFSCA_Away,FBREFGCA_Away,FBREFORating_Home,FBREFDRating_Home,FBREFORating_Away,FBREFDRating_Away,FBREFORating2_Home,FBREFDRating2_Home,FBREFORating2_Away,FBREFDRating2_Away
Bundesliga,2017-2018,2017-08-18,Bayern Munich,51,75.0,3,2,1,1,13,7,1,0,2.5,1.1,22.0,6.0,Leverkusen,49,71.4,1,1,0,0,19,4,2,0,2.2,0.9,29.0,2.0,1.6513767,1.0453323,1.624239,0.9515443,1.2341564,0.91093034,1.3055514,1.1881689
Bundesliga,2017-2018,2017-08-19,Hertha BSC,53,100.0,2,2,0,0,11,4,2,0,0.7,0.4,13.0,2.0,Stuttgart,47,50.0,0,0,0,0,8,2,1,0,1.2,0.4,11.0,0.0,0.7809763,1.2403619,1.0669047,0.98926073,0.056910306,1.5461382,0.41007367,1.3911628
Bundesliga,2017-2018,2017-08-19,Wolfsburg,30,40.0,0,0,0,0,8,0,0,0,0.5,0.5,14.0,0.0,Dortmund,70,0.0,3,3,0,0,13,5,0,0,1.1,1.1,24.0,5.0,0.86445,0.9635837,0.90327954,0.83875597,0.3015623,0.77617604,0.9391021,0.870216
Bundesliga,2017-2018,2017-08-19,Mainz 05,62,50.0,0,0,0,0,14,4,3,0,0.9,0.6,18.0,0.0,Hannover 96,38,100.0,1,1,0,0,5,2,5,0,0.7,0.6,7.0,2.0,0.8782286,0.8314784,0.79625845,1.0059173,0.0,0.7309862,0.0,0.8657698
Bundesliga,2017-2018,2017-08-19,Hoffenheim,63,100.0,1,1,0,0,16,2,1,0,1.2,1.1,24.0,0.0,Werder Bremen,37,50.0,0,0,0,0,12,2,3,0,1.0,0.9,18.0,0.0,1.204883,0.9322529,0.7258315,1.0656639,1.1976882,1.4743142,0.37241593,1.1236039
Bundesliga,2017-2018,2017-08-19,Hamburger SV,36,100.0,1,1,0,0,11,5,4,0,0.7,0.6,17.0,2.0,Augsburg,64,80.0,0,0,0,0,15,1,3,0,0.6,0.6,26.0,0.0,0.92932004,0.91261387,0.6645502,1.0169282,0.84358025,0.77617604,0.0,0.77866775
Bundesliga,2017-2018,2017-08-19,Schalke 04,38,100.0,2,1,1,1,10,4,2,0,1.6,0.8,14.0,4.0,RB Leipzig,62,75.0,0,0,0,0,14,3,2,0,0.9,0.4,21.0,0.0,1.0703816,1.074283,0.77215374,0.9177479,1.1895267,1.9827359,0.09296775,1.2569133
Bundesliga,2017-2018,2017-08-20,Freiburg,56,100.0,0,0,0,0,6,1,1,0,0.2,0.2,7.0,0.0,Eint Frankfurt,44,0.0,0,0,0,0,16,2,2,0,1.3,0.7,23.0,0.0,0.7684396,1.0604625,1.2191247,1.1415997,0.37890446,1.048982,1.3247675,0.8098073
Bundesliga,2017-2018,2017-08-20,M'Gladbach,53,100.0,1,1,0,0,22,9,3,0,1.5,1.4,37.0,2.0,Köln,47,88.9,0,0,0,0,12,1,2,0,1.0,0.9,22.0,0.0,1.4993067,1.0581877,1.1813229,0.9679902,1.5832458,1.0304086,0.5137965,1.155427
Bundesliga,2017-2018,2017-08-25,Köln,70,25.0,1,1,0,0,23,8,2,0,2.6,1.4,30.0,2.0,Hamburger SV,30,87.5,3,1,0,0,12,4,3,1,1.7,1.3,16.0,3.0,1.1262852,0.7746439,0.944845,0.8949502,0.8178229,0.79887754,0.32023028,0.77617604
Bundesliga,2017-2018,2017-08-26,Stuttgart,54,100.0,1,1,0,1,16,4,2,0,2.3,1.4,27.0,2.0,Mainz 05,46,75.0,0,0,0,0,14,6,1,0,0.9,0.9,23.0,0.0,1.103847,1.0654439,0.7692449,0.91446507,0.6217368,1.3401283,0.65040153,0.8221166
Bundesliga,2017-2018,2017-08-26,Eint Frankfurt,50,66.7,0,0,0,0,15,6,3,0,1.4,1.1,21.0,0.0,Wolfsburg,50,100.0,1,1,0,0,7,3,1,0,1.0,0.8,8.0,2.0,0.91050804,0.93963355,1.0314928,0.976551,0.024908692,0.9767427,0.3754173,0.77763706
Bundesliga,2017-2018,2017-08-26,Augsburg,53,33.3,2,2,0,0,24,9,2,0,3.3,2.5,38.0,4.0,M'Gladbach,47,77.8,2,1,0,0,14,3,2,0,1.4,1.1,19.0,3.0,1.3322618,1.0083297,1.5650516,0.9952984,0.7607127,0.8538509,1.1913743,0.8335322
Bundesliga,2017-2018,2017-08-26,Leverkusen,59,50.0,2,1,1,1,18,2,2,0,2.6,1.6,27.0,4.0,Hoffenheim,41,50.0,2,2,0,0,6,4,2,0,0.7,0.7,7.0,3.0,0.88711476,0.9548804,1.0919579,0.97467464,0.004679285,0.901502,0.19275019,0.8059152
Bundesliga,2017-2018,2017-08-26,Werder Bremen,29,71.4,0,0,0,0,5,0,1,0,0.5,0.3,9.0,0.0,Bayern Munich,71,0.0,2,2,0,0,20,7,1,0,1.8,1.5,29.0,4.0,0.72414035,1.0155777,2.1853993,0.712555,0.09295269,0.78877,2.3884225,1.3506242
Bundesliga,2017-2018,2017-08-26,Dortmund,66,100.0,2,1,0,0,18,8,1,0,2.5,1.9,29.0,3.0,Hertha BSC,34,75.0,0,0,0,0,7,4,1,0,0.7,0.6,11.0,0.0,1.5289714,0.77454865,1.0646396,0.96862817,1.1469634,0.75396025,0.52136344,0.77617604
Bundesliga,2017-2018,2017-08-27,RB Leipzig,67,75.0,4,4,0,0,28,11,2,0,3.1,2.8,51.0,8.0,Freiburg,33,63.6,1,1,0,0,6,4,1,1,0.4,0.3,11.0,2.0,1.9815011,0.8915086,0.97181344,0.96049553,2.306495,1.4164944,0.4727063,0.83415705
Bundesliga,2017-2018,2017-08-27,Hannover 96,48,100.0,1,1,0,0,11,3,1,0,0.9,0.7,15.0,2.0,Schalke 04,52,66.7,0,0,0,0,7,1,2,0,0.4,0.3,10.0,0.0,0.84518784,1.0177003,0.6768217,0.96655935,0.30504996,0.97519624,0.20190713,0.8053039
Bundesliga,2017-2018,2017-09-08,Hamburger SV,33,50.0,0,0,0,0,9,2,1,0,0.9,0.5,9.0,0.0,RB Leipzig,67,100.0,2,2,0,0,21,4,1,0,2.5,1.6,28.0,4.0,0.8926638,0.88518316,1.2108244,0.9348761,0.4224371,0.77617604,0.7264361,0.77617604
Bundesliga,2017-2018,2017-09-09,Freiburg,18,100.0,0,0,0,0,6,2,0,1,0.7,0.6,7.0,0.0,Dortmund,82,100.0,0,0,0,0,27,3,0,0,1.6,1.4,46.0,0.0,0.38058084,1.3179071,1.3091762,0.56075597,0.67141354,1.5954051,1.1711181,1.5969632
Bundesliga,2017-2018,2017-09-09,M'Gladbach,68,75.0,0,0,0,0,15,3,3,0,0.9,0.8,18.0,0.0,Eint Frankfurt,32,100.0,1,1,0,0,10,4,2,0,0.4,0.4,18.0,2.0,0.9598952,0.87232286,1.0352669,0.67000496,0.17756578,1.2190812,0.7846811,0.77617604
Bundesliga,2017-2018,2017-09-09,Augsburg,34,100.0,3,1,1,1,9,3,0,0,2.0,1.1,17.0,5.0,Köln,66,33.3,0,0,0,0,14,3,0,0,0.7,0.6,25.0,0.0,1.5854206,0.7973738,1.2200253,0.89187634,2.5388403,0.77617604,0.23035854,0.79218537
Bundesliga,2017-2018,2017-09-09,Wolfsburg,49,50.0,1,0,0,0,17,6,0,0,1.4,1.2,30.0,2.0,Hannover 96,51,83.3,1,0,0,0,7,2,1,0,1.0,1.0,12.0,1.0,0.5699844,1.123158,0.848003,0.8658148,0.47186646,0.95588183,0.5637965,0.84680027
Bundesliga,2017-2018,2017-09-09,Mainz 05,38,50.0,3,3,0,0,14,5,2,0,1.3,1.0,22.0,5.0,Leverkusen,62,40.0,1,1,0,0,13,2,2,0,0.9,0.8,24.0,2.0,0.8896147,1.1752323,1.238517,1.1728239,1.8828306,1.1915518,0.67701215,1.0741792
Bundesliga,2017-2018,2017-09-09,Hoffenheim,30,100.0,2,2,0,0,6,3,3,0,0.4,0.4,11.0,3.0,Bayern Munich,70,33.3,0,0,0,0,21,6,1,0,1.8,1.3,35.0,0.0,0.98061585,0.95330924,0.7703079,0.7994241,0.9279063,0.8898443,1.2197211,1.116492
Bundesliga,2017-2018,2017-09-10,Hertha BSC,53,80.0,1,1,0,0,8,4,1,0,0.9,0.5,9.0,2.0,Werder Bremen,47,75.0,1,0,0,0,10,5,0,0,1.1,1.0,16.0,0.0,0.8540321,1.0686045,0.7843511,1.1474059,0.49880734,1.2461787,0.14810511,0.87872255
Bundesliga,2017-2018,2017-09-10,Schalke 04,39,0.0,3,2,1,1,11,3,1,0,2.3,1.4,21.0,5.0,Stuttgart,61,33.3,1,1,0,0,10,1,1,0,1.3,0.9,18.0,2.0,1.0643735,1.0553207,1.347409,0.78818077,0.33886123,1.0209049,1.511493,1.342704
Bundesliga,2017-2018,2017-09-15,Hannover 96,58,100.0,2,0,0,0,17,4,1,0,1.9,0.7,23.0,2.0,Hamburger SV,42,50.0,0,0,0,0,13,3,0,0,0.7,0.5,18.0,0.0,1.300477,0.9010365,0.84122396,0.99026567,0.26938054,0.78086364,0.0,0.867612
Bundesliga,2017-2018,2017-09-16,Werder Bremen,52,50.0,1,0,0,0,17,2,2,0,0.9,0.7,27.0,1.0,Schalke 04,48,50.0,1,1,0,0,12,4,2,0,1.0,0.8,19.0,2.0,0.67412186,1.0108721,1.3740008,1.0144886,0.0,0.77617604,0.76920426,1.0067296
Bundesliga,2017-2018,2017-09-16,Eint Frankfurt,65,33.3,1,1,0,0,24,8,2,0,1.8,1.3,33.0,2.0,Augsburg,35,87.5,2,1,0,0,11,3,3,0,1.0,0.8,16.0,3.0,1.1108612,0.8369204,1.1131535,0.7806712,0.269099,1.0411745,2.0431118,0.77617604
Bundesliga,2017-2018,2017-09-16,Bayern Munich,76,100.0,4,4,0,0,31,14,2,0,5.6,4.0,51.0,7.0,Mainz 05,24,71.4,0,0,0,0,12,5,2,0,0.7,0.5,16.0,0.0,2.2836218,0.67253697,1.0631006,0.97089064,2.6437469,0.8419872,0.15645552,0.77617604
Bundesliga,2017-2018,2017-09-16,Stuttgart,45,100.0,1,0,0,0,9,3,2,0,0.9,0.6,14.0,1.0,Wolfsburg,55,66.7,0,0,0,0,8,1,3,0,0.5,0.4,13.0,0.0,0.9614008,1.1613566,1.2935436,0.8382749,0.42141372,1.3831058,0.7829907,0.9465983
Bundesliga,2017-2018,2017-09-16,RB Leipzig,52,50.0,2,2,0,0,11,3,1,1,1.3,1.3,20.0,4.0,M'Gladbach,48,33.3,2,1,1,1,9,2,1,0,1.7,0.7,17.0,3.0,0.7557961,0.87389845,1.1627684,0.93337965,0.27923557,0.82450265,0.35397226,0.8678705
Bundesliga,2017-2018,2017-09-17,Hoffenheim,59,75.0,1,1,0,0,9,2,2,0,0.7,0.5,13.0,1.0,Hertha BSC,41,50.0,1,1,0,0,9,4,2,0,0.8,0.6,13.0,2.0,0.93106556,0.81097007,1.3131208,1.1151245,0.0,1.0315633,1.5358727,1.1641326
Bundesliga,2017-2018,2017-09-17,Leverkusen,64,100.0,4,2,0,0,22,9,0,0,2.8,2.5,31.0,6.0,Freiburg,36,55.6,0,0,0,0,4,1,2,0,0.6,0.6,3.0,0.0,1.6242537,0.7765059,0.7619869,1.172761,1.2947088,0.8646865,0.25589034,1.4423171
Bundesliga,2017-2018,2017-09-17,Dortmund,73,100.0,5,3,1,1,21,8,0,0,3.2,2.0,37.0,7.0,Köln,27,50.0,0,0,0,0,6,2,3,0,0.5,0.5,12.0,0.0,2.0699036,0.71632755,0.72996545,1.1377822,2.1096826,1.8165181,0.09498792,1.1942796
Bundesliga,2017-2018,2017-09-19,M'Gladbach,55,100.0,2,1,1,1,8,2,0,0,1.3,0.5,12.0,4.0,Stuttgart,45,50.0,0,0,0,0,12,4,1,0,0.8,0.7,18.0,0.0,1.4643127,0.8337559,0.95293236,0.8140733,1.2362757,1.4506888,0.5078347,1.201282
Bundesliga,2017-2018,2017-09-19,Augsburg,33,100.0,1,1,0,0,12,4,2,0,1.1,0.9,12.0,2.0,RB Leipzig,67,75.0,0,0,0,0,14,3,2,0,0.9,0.6,24.0,0.0,0.8864664,0.852496,0.8676443,0.8892101,1.2342199,0.77617604,0.6609754,0.8247962
Bundesliga,2017-2018,2017-09-19,Schalke 04,35,75.0,0,0,0,0,11,3,1,0,1.0,0.8,13.0,0.0,Bayern Munich,65,100.0,3,2,1,1,12,8,1,0,2.3,1.5,24.0,6.0,0.9870286,1.056046,2.1558857,0.6459511,0.68113375,1.13052,2.6940799,1.3433774
Bundesliga,2017-2018,2017-09-19,Wolfsburg,61,66.7,1,1,0,0,13,4,1,0,1.0,0.9,17.0,2.0,Werder Bremen,39,75.0,1,0,0,0,11,3,2,0,1.5,1.0,14.0,0.0,0.5152192,0.9309348,0.9503838,1.0036422,0.68631685,2.1265662,0.24128231,0.77617604
Bundesliga,2017-2018,2017-09-20,Köln,55,100.0,0,0,0,0,18,7,2,0,1.9,0.8,25.0,0.0,Eint Frankfurt,45,100.0,1,0,1,1,9,2,1,0,1.7,0.5,15.0,1.0,0.776677,0.9724622,0.83912885,0.9905694,0.19494933,0.946918,0.23741734,0.97465926
Bundesliga,2017-2018,2017-09-20,Mainz 05,44,40.0,2,1,0,0,21,6,3,0,1.3,1.1,26.0,2.0,Hoffenheim,56,66.7,3,3,0,0,16,5,3,0,1.3,1.0,26.0,5.0,0.8498329,1.0259026,1.1676968,0.88238764,0.09881672,0.77617604,0.46459827,0.7755059
Bundesliga,2017-2018,2017-09-20,Hamburger SV,47,57.1,0,0,0,0,8,2,3,0,0.5,0.4,13.0,0.0,Dortmund,53,100.0,3,2,0,0,16,7,0,0,2.8,1.4,26.0,4.0,0.7197481,0.8288173,1.3426683,0.9291562,0.0,0.77617604,0.54687124,1.0216389
Bundesliga,2017-2018,2017-09-20,Freiburg,50,66.7,1,1,0,1,20,5,2,0,2.2,1.3,34.0,2.0,Hannover 96,50,80.0,1,1,0,0,16,3,4,0,1.5,1.3,21.0,2.0,0.64612275,1.1644539,1.5751505,1.0661894,0.0098485425,1.0927597,0.98260105,0.8403559
