League,Season,Team_Home,Date,game_id,Goal_Home,Win_Home,o_rating_Home,d_rating_Home,Team_Away,Goal_Away,Win_Away,o_rating_Away,d_rating_Away
Ligue1,2017-2018,Monaco,2017-08-04,2662,3.0,1,0.6338018,0.9286694,Toulouse,2.0,0,0.9547075,0.83033013
Ligue1,2017-2018,Paris S-G,2017-08-05,2663,2.0,1,1.862248,0.79049885,Amiens,0.0,0,0.79845965,0.96814257
Ligue1,2017-2018,Saint-Étienne,2017-08-05,2664,1.0,1,1.3517622,0.97712064,Nice,0.0,0,1.2754645,0.76967293
Ligue1,2017-2018,Montpellier,2017-08-05,2665,1.0,1,0.70140153,0.99478143,Caen,0.0,0,0.77493167,0.98163193
Ligue1,2017-2018,Metz,2017-08-05,2666,1.0,0,0.7222253,0.938748,Guingamp,3.0,1,1.0875816,0.8128226
Ligue1,2017-2018,Lyon,2017-08-05,2667,4.0,1,1.4898579,1.0113356,Strasbourg,0.0,0,0.77655613,1.0683742
Ligue1,2017-2018,Troyes,2017-08-05,2668,1.0,0,0.9698931,0.92297816,Rennes,1.0,0,0.8049284,0.96470785
Ligue1,2017-2018,Lille,2017-08-06,2669,3.0,1,0.5785053,0.95949024,Nantes,0.0,0,1.1738192,0.86980784
Ligue1,2017-2018,Marseille,2017-08-06,2671,3.0,1,1.6559093,1.049407,Dijon,0.0,0,1.1175082,1.0530133
Ligue1,2017-2018,Angers,2017-08-06,2670,2.0,0,1.0101502,0.9836857,Bordeaux,2.0,0,0.808623,0.92339206
Ligue1,2017-2018,Nice,2017-08-11,2672,1.0,0,1.0305145,0.73466885,Troyes,2.0,1,1.6284198,0.806064
Ligue1,2017-2018,Rennes,2017-08-11,2673,1.0,0,0.7883251,1.0270793,Lyon,2.0,1,1.4144053,1.0035663
EPL,2017-2018,Arsenal,2017-08-11,1140,4.0,1,1.3685191,0.7831133,Leicester City,3.0,0,0.8442681,1.0386215
Ligue1,2017-2018,Bordeaux,2017-08-12,2678,2.0,1,1.8687654,0.9914491,Metz,0.0,0,0.988709,0.8164517
Ligue1,2017-2018,Caen,2017-08-12,2677,0.0,0,0.8418124,1.000609,Saint-Étienne,1.0,1,0.7995482,0.9425646
Ligue1,2017-2018,Nantes,2017-08-12,2674,0.0,0,1.0247172,0.7990442,Marseille,1.0,1,1.1276047,0.8632567
Ligue1,2017-2018,Amiens,2017-08-12,2675,0.0,0,0.81632495,0.90333974,Angers,2.0,1,0.9425866,1.0106871
Ligue1,2017-2018,Toulouse,2017-08-12,2676,1.0,1,0.7579665,0.8311781,Montpellier,0.0,0,0.8416342,0.88693106
EPL,2017-2018,Brighton,2017-08-12,1147,0.0,0,0.82033134,0.9919472,Manchester City,2.0,1,1.3223846,0.772251
EPL,2017-2018,Watford,2017-08-12,1141,3.0,0,0.67169225,1.0553237,Liverpool,3.0,0,0.7446759,0.8065939
EPL,2017-2018,West Brom,2017-08-12,1142,1.0,1,1.051935,0.9183899,Bournemouth,0.0,0,1.328953,0.95309234
EPL,2017-2018,Everton,2017-08-12,1143,1.0,1,0.7208181,0.7979446,Stoke City,0.0,0,0.7769209,1.0852029
EPL,2017-2018,Southampton,2017-08-12,1144,0.0,0,0.61478573,0.9710021,Swansea City,0.0,0,0.94520307,1.1697681
EPL,2017-2018,Chelsea,2017-08-12,1145,2.0,0,1.1839992,0.8791114,Burnley,3.0,1,0.7836859,1.1211641
EPL,2017-2018,Crystal Palace,2017-08-12,1146,0.0,0,0.8064597,0.96804345,Huddersfield,3.0,1,0.8381157,0.9466878
Ligue1,2017-2018,Dijon,2017-08-13,2680,1.0,0,0.9129885,0.9172105,Monaco,4.0,1,1.0344776,0.9646241
Ligue1,2017-2018,Strasbourg,2017-08-13,2679,3.0,1,1.0807817,0.88771874,Lille,0.0,0,1.0262824,0.9553003
EPL,2017-2018,Manchester Utd,2017-08-13,1149,4.0,1,2.141598,0.8136801,West Ham,0.0,0,0.7097239,1.0636728
Ligue1,2017-2018,Guingamp,2017-08-13,2681,0.0,0,0.8293685,1.0512064,Paris S-G,3.0,1,2.8363516,0.7708663
EPL,2017-2018,Newcastle Utd,2017-08-13,1148,0.0,0,0.8130876,1.045965,Tottenham,2.0,1,3.0151393,0.59641504
Ligue1,2017-2018,Metz,2017-08-18,2682,0.0,0,1.2109835,0.89957446,Monaco,1.0,1,0.7815324,1.0160496
Bundesliga,2017-2018,Bayern Munich,2017-08-18,3966,3.0,1,1.6513767,1.0453323,Leverkusen,1.0,0,1.624239,0.9515443
LaLiga,2017-2018,Leganés,2017-08-18,6934,1.0,1,0.8078098,1.1376933,Alavés,0.0,0,0.74336755,1.099012
LaLiga,2017-2018,Valencia,2017-08-18,6935,1.0,1,0.69509816,0.8584989,Las Palmas,0.0,0,1.3977294,0.7859903
Ligue1,2017-2018,Montpellier,2017-08-19,2684,1.0,0,0.66608834,1.0059664,Strasbourg,1.0,0,1.1365705,0.93636435
Ligue1,2017-2018,Troyes,2017-08-19,2685,0.0,0,0.8756738,0.7324111,Nantes,1.0,1,1.5618157,1.3645477
Ligue1,2017-2018,Lyon,2017-08-19,2683,3.0,0,0.7689375,1.1363242,Bordeaux,3.0,0,0.72160923,1.1335989
Bundesliga,2017-2018,Schalke 04,2017-08-19,3972,2.0,1,1.0703816,1.074283,RB Leipzig,0.0,0,0.77215374,0.9177479
Bundesliga,2017-2018,Hertha BSC,2017-08-19,3971,2.0,1,0.7809763,1.2403619,Stuttgart,0.0,0,1.0669047,0.98926073
Bundesliga,2017-2018,Hamburger SV,2017-08-19,3970,1.0,1,0.92932004,0.91261387,Augsburg,0.0,0,0.6645502,1.0169282
LaLiga,2017-2018,Sevilla,2017-08-19,6938,1.0,0,0.87365043,0.763646,Espanyol,1.0,0,0.69866794,1.0994028
LaLiga,2017-2018,Girona,2017-08-19,6937,2.0,0,1.0699439,0.9831097,Atlético Madrid,2.0,0,1.1007183,0.9629121
LaLiga,2017-2018,Celta Vigo,2017-08-19,6936,2.0,0,1.062429,0.9105063,Real Sociedad,3.0,1,0.58090705,1.127671
Ligue1,2017-2018,Saint-Étienne,2017-08-19,2686,3.0,1,0.8778321,1.0269052,Amiens,0.0,0,0.6626419,1.1065431
Ligue1,2017-2018,Nice,2017-08-19,2687,2.0,1,1.588007,0.8744265,Guingamp,0.0,0,1.6994976,1.1136842
EPL,2017-2018,Burnley,2017-08-19,1154,0.0,0,1.0930257,0.9654351,West Brom,1.0,1,0.82959044,0.9714789
EPL,2017-2018,Bournemouth,2017-08-19,1153,0.0,0,0.7893083,1.1339943,Watford,2.0,1,0.87816095,0.94685227
EPL,2017-2018,Leicester City,2017-08-19,1152,2.0,1,1.5438112,0.97584504,Brighton,0.0,0,0.8322025,0.8462791
EPL,2017-2018,Southampton,2017-08-19,1151,3.0,1,1.1225612,0.8963332,West Ham,2.0,0,0.70121294,1.045702
Ligue1,2017-2018,Rennes,2017-08-19,2688,2.0,0,0.9903379,0.8892842,Dijon,2.0,0,0.72075486,0.87694514
EPL,2017-2018,Swansea City,2017-08-19,1150,0.0,0,0.51268435,1.0723606,Manchester Utd,4.0,1,2.4677558,0.84673446
Bundesliga,2017-2018,Mainz 05,2017-08-19,3968,0.0,0,0.8782286,0.8314784,Hannover 96,1.0,1,0.79625845,1.0059173
Bundesliga,2017-2018,Wolfsburg,2017-08-19,3969,0.0,0,0.86445,0.9635837,Dortmund,3.0,1,0.90327954,0.83875597
SerieA,2017-2018,Hellas Verona,2017-08-19,5415,1.0,0,0.77128166,0.94024485,Napoli,3.0,1,2.0898826,0.9579792
EPL,2017-2018,Liverpool,2017-08-19,1155,1.0,1,1.3140728,0.8296814,Crystal Palace,0.0,0,0.72891545,0.98157644
EPL,2017-2018,Stoke City,2017-08-19,1156,1.0,1,0.7854067,1.0467161,Arsenal,0.0,0,0.96825397,0.6974016
SerieA,2017-2018,Juventus,2017-08-19,5414,3.0,1,2.181853,0.7663717,Cagliari,0.0,0,1.1084485,1.224457
Bundesliga,2017-2018,Hoffenheim,2017-08-19,3967,1.0,1,1.204883,0.9322529,Werder Bremen,0.0,0,0.7258315,1.0656639
SerieA,2017-2018,Udinese,2017-08-20,5420,1.0,0,1.0627308,0.8209733,Chievo,2.0,1,1.0013101,0.9884748
SerieA,2017-2018,Sampdoria,2017-08-20,5417,2.0,1,1.5060687,0.8551122,Benevento,1.0,0,1.3829628,0.89243233
SerieA,2017-2018,Lazio,2017-08-20,5423,0.0,0,1.2869093,0.8113778,SPAL,0.0,0,1.2578702,0.89440894
