Team_Home,Team_Away,USxg_Home,USxg_Away,Date,USProb_Home,USProb_Away,Season,League
Monaco,Toulouse,2.14636,0.248798,2017-08-04,0.8672,0.0223,2017-2018,Ligue1
Paris S-G,Amiens,2.25264,0.190301,2017-08-05,0.8981,0.0144,2017-2018,Ligue1
Montpellier,Caen,1.46179,0.31924,2017-08-05,0.7392,0.0547,2017-2018,Ligue1
Lyon,Strasbourg,1.72783,0.292445,2017-08-05,0.812,0.0327,2017-2018,Ligue1
Saint-Étienne,Nice,0.943684,0.593773,2017-08-05,0.4413,0.1732,2017-2018,Ligue1
Troyes,Rennes,1.33762,1.87176,2017-08-05,0.2409,0.5063,2017-2018,Ligue1
Metz,Guingamp,0.557371,1.45737,2017-08-05,0.0853,0.6358,2017-2018,Ligue1
Lille,Nantes,1.90958,1.0773,2017-08-06,0.5988,0.153,2017-2018,Ligue1
Angers,Bordeaux,1.11146,1.77916,2017-08-06,0.1763,0.551,2017-2018,Ligue1
Marseille,Dijon,2.41348,0.594982,2017-08-06,0.8148,0.0504,2017-2018,Ligue1
Nice,Troyes,1.92396,0.432943,2017-08-11,0.8011,0.0502,2017-2018,Ligue1
Arsenal,Leicester City,2.54329,1.46495,2017-08-11,0.628,0.1566,2017-2018,EPL
Rennes,Lyon,0.712298,1.53095,2017-08-11,0.1509,0.5991,2017-2018,Ligue1
Watford,Liverpool,2.17647,2.61549,2017-08-12,0.2452,0.4678,2017-2018,EPL
Crystal Palace,Huddersfield,0.988934,1.73657,2017-08-12,0.1531,0.5978,2017-2018,EPL
Chelsea,Burnley,1.35651,0.564237,2017-08-12,0.5899,0.1261,2017-2018,EPL
West Brom,Bournemouth,1.18399,0.378659,2017-08-12,0.5875,0.1069,2017-2018,EPL
Everton,Stoke City,0.720574,0.27644,2017-08-12,0.4458,0.1269,2017-2018,EPL
Southampton,Swansea City,2.21748,0.406196,2017-08-12,0.8262,0.0361,2017-2018,EPL
Nantes,Marseille,1.29602,1.91985,2017-08-12,0.1903,0.5504,2017-2018,Ligue1
Brighton,Manchester City,0.276343,1.86751,2017-08-12,0.0192,0.8654,2017-2018,EPL
Toulouse,Montpellier,1.72539,0.790815,2017-08-12,0.6472,0.1253,2017-2018,Ligue1
Bordeaux,Metz,2.14545,0.525091,2017-08-12,0.8508,0.0236,2017-2018,Ligue1
Amiens,Angers,0.705642,1.47376,2017-08-12,0.1559,0.5757,2017-2018,Ligue1
Caen,Saint-Étienne,0.75531,1.14769,2017-08-12,0.2082,0.4773,2017-2018,Ligue1
Newcastle Utd,Tottenham,0.634633,2.34418,2017-08-13,0.0463,0.8107,2017-2018,EPL
Strasbourg,Lille,3.20079,1.11214,2017-08-13,0.8384,0.0502,2017-2018,Ligue1
Manchester Utd,West Ham,2.63853,0.62654,2017-08-13,0.8486,0.0387,2017-2018,EPL
Dijon,Monaco,1.15256,1.82196,2017-08-13,0.2071,0.5475,2017-2018,Ligue1
Guingamp,Paris S-G,0.0609477,2.51121,2017-08-13,0.0022,0.9449,2017-2018,Ligue1
Leganés,Alavés,1.32428,0.993213,2017-08-18,0.3986,0.1808,2017-2018,LaLiga
Bayern Munich,Leverkusen,2.77906,1.8866,2017-08-18,0.6026,0.1977,2017-2018,Bundesliga
Metz,Monaco,0.799504,1.93555,2017-08-18,0.0786,0.695,2017-2018,Ligue1
Valencia,Las Palmas,1.60532,0.219158,2017-08-18,0.7404,0.0436,2017-2018,LaLiga
Swansea City,Manchester Utd,0.304164,3.41021,2017-08-19,0.0011,0.9823,2017-2018,EPL
Hertha BSC,Stuttgart,0.436556,0.879388,2017-08-19,0.1659,0.4641,2017-2018,Bundesliga
Hamburger SV,Augsburg,0.55238,0.573987,2017-08-19,0.2777,0.3016,2017-2018,Bundesliga
Hoffenheim,Werder Bremen,0.97427,0.806833,2017-08-19,0.3683,0.268,2017-2018,Bundesliga
Mainz 05,Hannover 96,0.526663,0.610149,2017-08-19,0.2452,0.3271,2017-2018,Bundesliga
Wolfsburg,Dortmund,0.495065,1.12424,2017-08-19,0.1403,0.5398,2017-2018,Bundesliga
Burnley,West Brom,1.37242,0.653058,2017-08-19,0.5629,0.1605,2017-2018,EPL
Southampton,West Ham,2.1424,1.53269,2017-08-19,0.5292,0.2049,2017-2018,EPL
Leicester City,Brighton,1.88355,0.123075,2017-08-19,0.8802,0.0115,2017-2018,EPL
Liverpool,Crystal Palace,2.84978,0.727364,2017-08-19,0.8616,0.0335,2017-2018,EPL
Bournemouth,Watford,0.766694,2.17717,2017-08-19,0.0725,0.7358,2017-2018,EPL
Lyon,Bordeaux,0.933014,0.924278,2017-08-19,0.3388,0.3083,2017-2018,Ligue1
Juventus,Cagliari,1.27155,1.39829,2017-08-19,0.2892,0.4129,2017-2018,SerieA
Celta Vigo,Real Sociedad,1.82363,1.97071,2017-08-19,0.3245,0.4115,2017-2018,LaLiga
Schalke 04,RB Leipzig,1.91233,0.791215,2017-08-19,0.6997,0.0912,2017-2018,Bundesliga
Stoke City,Arsenal,0.692644,1.40658,2017-08-19,0.1705,0.5531,2017-2018,EPL
Rennes,Dijon,1.33398,1.21134,2017-08-19,0.3631,0.311,2017-2018,Ligue1
Troyes,Nantes,0.724295,0.565923,2017-08-19,0.3652,0.2411,2017-2018,Ligue1
Saint-Étienne,Amiens,3.17624,1.06947,2017-08-19,0.8507,0.0474,2017-2018,Ligue1
Montpellier,Strasbourg,1.91128,0.639177,2017-08-19,0.7336,0.0753,2017-2018,Ligue1
Nice,Guingamp,1.41445,0.455777,2017-08-19,0.6634,0.092,2017-2018,Ligue1
Girona,Atlético Madrid,2.57496,0.847485,2017-08-19,0.8081,0.0593,2017-2018,LaLiga
Hellas Verona,Napoli,1.39528,2.62234,2017-08-19,0.1264,0.6802,2017-2018,SerieA
Sevilla,Espanyol,2.52013,1.09286,2017-08-19,0.762,0.0695,2017-2018,LaLiga
Huddersfield,Newcastle Utd,0.267008,0.973322,2017-08-20,0.0912,0.5692,2017-2018,EPL
Lille,Caen,0.511679,1.82943,2017-08-20,0.0506,0.7797,2017-2018,Ligue1
Freiburg,Eint Frankfurt,0.231368,1.54296,2017-08-20,0.0342,0.7804,2017-2018,Bundesliga
Tottenham,Chelsea,0.72428,0.834423,2017-08-20,0.2838,0.3585,2017-2018,EPL
Marseille,Angers,1.10475,0.773691,2017-08-20,0.4323,0.2474,2017-2018,Ligue1
Atalanta,Roma,1.48324,0.362356,2017-08-20,0.7243,0.0577,2017-2018,SerieA
M'Gladbach,Köln,1.62503,0.837903,2017-08-20,0.5762,0.1769,2017-2018,Bundesliga
Athletic Club,Getafe,1.10938,0.335335,2017-08-20,0.5675,0.1084,2017-2018,LaLiga
Barcelona,Betis,1.30926,0.150503,2017-08-20,0.7162,0.0377,2017-2018,LaLiga
Sampdoria,Benevento,2.84573,1.05409,2017-08-20,0.8343,0.0477,2017-2018,SerieA
Inter,Fiorentina,2.71454,0.411971,2017-08-20,0.9127,0.0185,2017-2018,SerieA
Bologna,Torino,0.568427,0.314472,2017-08-20,0.3462,0.1679,2017-2018,SerieA
Sassuolo,Genoa,0.448836,0.973373,2017-08-20,0.1421,0.5122,2017-2018,SerieA
Udinese,Chievo,0.725552,0.422866,2017-08-20,0.3895,0.1919,2017-2018,SerieA
Crotone,Milan,0.302867,2.0921,2017-08-20,0.025,0.8549,2017-2018,SerieA
Lazio,SPAL,0.757926,0.625722,2017-08-20,0.3453,0.2629,2017-2018,SerieA
Paris S-G,Toulouse,3.19678,0.338766,2017-08-20,0.951,0.0079,2017-2018,Ligue1
La Coruña,Real Madrid,1.48262,2.38821,2017-08-20,0.1473,0.6186,2017-2018,LaLiga
Levante,Villarreal,1.27973,0.454109,2017-08-21,0.6391,0.0941,2017-2018,LaLiga
Manchester City,Everton,1.14216,0.59971,2017-08-21,0.4894,0.1829,2017-2018,EPL
Málaga,Eibar,0.913442,1.4766,2017-08-21,0.194,0.5317,2017-2018,LaLiga
Real Sociedad,Villarreal,2.80119,0.121682,2017-08-25,0.9576,0.0038,2017-2018,LaLiga
Köln,Hamburger SV,1.88741,1.64554,2017-08-25,0.4144,0.3072,2017-2018,Bundesliga
Paris S-G,Saint-Étienne,2.36555,0.621197,2017-08-25,0.8461,0.0374,2017-2018,Ligue1
Betis,Celta Vigo,1.5432,0.261415,2017-08-25,0.7542,0.0449,2017-2018,LaLiga
Bournemouth,Manchester City,0.415402,1.76626,2017-08-26,0.0666,0.7402,2017-2018,EPL
Leverkusen,Hoffenheim,2.43586,0.68001,2017-08-26,0.8274,0.042,2017-2018,Bundesliga
Stuttgart,Mainz 05,2.08775,0.385982,2017-08-26,0.8369,0.0323,2017-2018,Bundesliga
Augsburg,M'Gladbach,2.45658,1.3232,2017-08-26,0.6372,0.166,2017-2018,Bundesliga
Eint Frankfurt,Wolfsburg,0.926888,1.07528,2017-08-26,0.2766,0.3977,2017-2018,Bundesliga
Werder Bremen,Bayern Munich,0.229698,1.39955,2017-08-26,0.0422,0.7346,2017-2018,Bundesliga
Watford,Brighton,0.281459,0.952357,2017-08-26,0.1023,0.529,2017-2018,EPL
Newcastle Utd,West Ham,2.76107,0.558484,2017-08-26,0.9013,0.0187,2017-2018,EPL
Crystal Palace,Swansea City,0.818951,0.966783,2017-08-26,0.2811,0.3845,2017-2018,EPL
Huddersfield,Southampton,1.51605,0.795911,2017-08-26,0.5525,0.1721,2017-2018,EPL
Nantes,Lyon,0.318881,0.806351,2017-08-26,0.1275,0.4655,2017-2018,Ligue1
Genoa,Juventus,1.21323,2.13228,2017-08-26,0.1445,0.6084,2017-2018,SerieA
Benevento,Bologna,0.798588,1.79492,2017-08-26,0.1171,0.6696,2017-2018,SerieA
Alavés,Barcelona,0.635924,2.68718,2017-08-26,0.0343,0.8548,2017-2018,LaLiga
Manchester Utd,Leicester City,2.73725,0.670573,2017-08-26,0.8734,0.0281,2017-2018,EPL
Dortmund,Hertha BSC,2.06987,0.406341,2017-08-26,0.813,0.0425,2017-2018,Bundesliga
Caen,Metz,1.71638,0.834878,2017-08-26,0.5903,0.1506,2017-2018,Ligue1
Dijon,Montpellier,1.25732,1.55187,2017-08-26,0.2398,0.4232,2017-2018,Ligue1
Toulouse,Rennes,2.39664,0.942755,2017-08-26,0.7749,0.071,2017-2018,Ligue1
Bordeaux,Troyes,2.76641,0.566642,2017-08-26,0.8859,0.0267,2017-2018,Ligue1
Amiens,Nice,1.3292,0.247748,2017-08-26,0.7453,0.0392,2017-2018,Ligue1
Levante,La Coruña,2.40085,0.814208,2017-08-26,0.7708,0.078,2017-2018,LaLiga
Girona,Málaga,1.66954,0.325871,2017-08-26,0.8007,0.0375,2017-2018,LaLiga
Roma,Inter,1.34009,2.45224,2017-08-26,0.1292,0.671,2017-2018,SerieA
Las Palmas,Atlético Madrid,1.38892,0.510608,2017-08-26,0.6498,0.0949,2017-2018,LaLiga
West Brom,Stoke City,0.875132,0.980905,2017-08-27,0.3079,0.3563,2017-2018,EPL
Chelsea,Everton,1.16991,0.326655,2017-08-27,0.5979,0.0999,2017-2018,EPL
Guingamp,Strasbourg,1.86165,0.566048,2017-08-27,0.752,0.0668,2017-2018,Ligue1
RB Leipzig,Freiburg,2.85363,0.456207,2017-08-27,0.8794,0.0295,2017-2018,Bundesliga
Angers,Lille,0.861506,0.846538,2017-08-27,0.3351,0.3266,2017-2018,Ligue1
Tottenham,Burnley,2.3497,0.670943,2017-08-27,0.7813,0.0672,2017-2018,EPL
Liverpool,Arsenal,3.45998,0.484816,2017-08-27,0.9436,0.0116,2017-2018,EPL
Hannover 96,Schalke 04,0.805466,0.403031,2017-08-27,0.4488,0.1578,2017-2018,Bundesliga
Torino,Sassuolo,1.24379,0.823815,2017-08-27,0.472,0.2295,2017-2018,SerieA
Eibar,Athletic Club,1.1133,1.35304,2017-08-27,0.2744,0.4258,2017-2018,LaLiga
Espanyol,Leganés,1.29777,1.22097,2017-08-27,0.3538,0.3299,2017-2018,LaLiga
Getafe,Sevilla,1.47212,1.21647,2017-08-27,0.409,0.2871,2017-2018,LaLiga
Napoli,Atalanta,1.1536,0.633447,2017-08-27,0.5081,0.1782,2017-2018,SerieA
Fiorentina,Sampdoria,1.86088,2.14547,2017-08-27,0.2877,0.4578,2017-2018,SerieA
Crotone,Hellas Verona,0.74833,0.227079,2017-08-27,0.4547,0.1027,2017-2018,SerieA
Milan,Cagliari,1.42114,0.559323,2017-08-27,0.6317,0.1148,2017-2018,SerieA
Chievo,Lazio,0.772094,1.36642,2017-08-27,0.1773,0.5357,2017-2018,SerieA
SPAL,Udinese,1.63964,1.11091,2017-08-27,0.4983,0.1969,2017-2018,SerieA
Monaco,Marseille,4.53179,1.41561,2017-08-27,0.9446,0.0129,2017-2018,Ligue1
Real Madrid,Valencia,3.38691,0.90594,2017-08-27,0.8935,0.0282,2017-2018,LaLiga
Lille,Bordeaux,0.352346,0.936419,2017-09-08,0.1291,0.5083,2017-2018,Ligue1
Hamburger SV,RB Leipzig,1.17417,1.37657,2017-09-08,0.3055,0.397,2017-2018,Bundesliga
Metz,Paris S-G,1.20793,4.87729,2017-09-08,0.0069,0.9672,2017-2018,Ligue1
Leganés,Getafe,1.55919,0.392931,2017-09-08,0.7598,0.055,2017-2018,LaLiga
Real Madrid,Levante,3.18354,0.757405,2017-09-09,0.9394,0.0073,2017-2018,LaLiga
Manchester City,Liverpool,3.14589,0.665186,2017-09-09,0.9056,0.0228,2017-2018,EPL
Wolfsburg,Hannover 96,1.13451,0.480156,2017-09-09,0.5436,0.141,2017-2018,Bundesliga
Freiburg,Dortmund,0.490076,1.56801,2017-09-09,0.1008,0.6471,2017-2018,Bundesliga
M'Gladbach,Eint Frankfurt,0.632041,0.614198,2017-09-09,0.3047,0.2825,2017-2018,Bundesliga
Augsburg,Köln,2.27655,0.458374,2017-09-09,0.8621,0.0319,2017-2018,Bundesliga
Mainz 05,Leverkusen,1.33781,0.964768,2017-09-09,0.4795,0.237,2017-2018,Bundesliga
Everton,Tottenham,1.15144,2.17535,2017-09-09,0.1568,0.6322,2017-2018,EPL
Brighton,West Brom,0.396771,0.866679,2017-09-09,0.1484,0.4756,2017-2018,EPL
Leicester City,Chelsea,1.34903,1.03943,2017-09-09,0.467,0.2418,2017-2018,EPL
Arsenal,Bournemouth,2.48732,0.577291,2017-09-09,0.8309,0.0464,2017-2018,EPL
Southampton,Watford,0.331259,0.57794,2017-09-09,0.1722,0.3514,2017-2018,EPL
Valencia,Atlético Madrid,0.702521,0.638366,2017-09-09,0.3289,0.2846,2017-2018,LaLiga
Nice,Monaco,2.94979,0.881798,2017-09-09,0.8732,0.0307,2017-2018,Ligue1
Juventus,Chievo,1.25158,0.910665,2017-09-09,0.4352,0.2522,2017-2018,SerieA
Hoffenheim,Bayern Munich,0.612108,1.51192,2017-09-09,0.1341,0.6012,2017-2018,Bundesliga
Stoke City,Manchester Utd,1.49928,1.96635,2017-09-09,0.2647,0.4836,2017-2018,EPL
Sevilla,Eibar,2.84122,0.690659,2017-09-09,0.8859,0.0179,2017-2018,LaLiga
