rank,name,confed,off,def,spi
1,Spain,UEFA,3.3,0.43,92.23
2,Brazil,CONMEBOL,3.04,0.32,92.22
3,Belgium,UEFA,3.06,0.56,88.84
4,Netherlands,UEFA,2.9,0.55,87.66
5,France,UEFA,2.74,0.48,87.41
6,Argentina,CONMEBOL,2.54,0.42,86.59
7,Italy,UEFA,2.55,0.43,86.45
8,England,UEFA,2.61,0.49,85.99
9,Germany,UEFA,2.94,0.71,85.4
10,Portugal,UEFA,2.66,0.57,85.04
11,Uruguay,CONMEBOL,2.36,0.56,81.8
12,Switzerland,UEFA,2.47,0.63,81.78
13,Denmark,UEFA,2.3,0.54,81.5
14,Colombia,CONMEBOL,2.17,0.54,79.63
15,Mexico,CONCACAF,2.31,0.71,78.06
16,Chile,CONMEBOL,2.19,0.72,76.05
17,Croatia,UEFA,2.26,0.8,75.35
18,Ecuador,CONMEBOL,2.23,0.79,75.25
19,USA,CONCACAF,2.08,0.75,73.79
20,Sweden,UEFA,2.04,0.72,73.58
21,Algeria,CAF,2.22,0.87,73.34
22,Serbia,UEFA,2.19,0.85,73.28
23,Czech Republic,UEFA,2.06,0.78,72.71
24,Japan,AFC,1.95,0.72,72.07
25,Austria,UEFA,2.07,0.82,71.99
26,Morocco,CAF,2.01,0.79,71.73
27,Russia,UEFA,2.11,0.87,71.46
28,Poland,UEFA,1.96,0.78,71.05
29,Venezuela,CONMEBOL,1.87,0.74,70.38
30,Iran,AFC,1.79,0.68,70.35
31,Peru,CONMEBOL,1.89,0.77,69.91
32,Wales,UEFA,1.66,0.62,69.46
33,Paraguay,CONMEBOL,1.8,0.73,69.26
34,Norway,UEFA,1.93,0.87,68.46
35,Turkey,UEFA,2.01,0.96,67.78
36,Canada,CONCACAF,2.13,1.08,67.36
37,Australia,AFC,1.92,0.9,67.34
38,Senegal,CAF,1.56,0.66,66.29
39,Tunisia,CAF,1.73,0.84,65.26
40,Ivory Coast,CAF,1.71,0.84,64.98
41,Ukraine,UEFA,1.67,0.81,64.86
42,Greece,UEFA,1.5,0.7,64.11
43,Ghana,CAF,1.52,0.74,63.64
44,Bosnia and Herzegovina,UEFA,1.72,0.96,62.38
45,Egypt,CAF,1.61,0.86,62.38
46,Scotland,UEFA,1.51,0.82,61.43
47,Nigeria,CAF,1.8,1.08,61.17
48,South Korea,AFC,1.49,0.82,60.84
49,Israel,UEFA,1.74,1.09,59.8
50,Romania,UEFA,1.81,1.16,59.49
51,Basque Country,UEFA,1.63,1.0,59.32
52,Iraq,AFC,1.39,0.8,59.06
53,Finland,UEFA,1.69,1.07,59.0
54,Hungary,UEFA,1.63,1.03,58.8
55,Saudi Arabia,AFC,1.75,1.15,58.48
56,Qatar,AFC,1.69,1.11,58.18
57,Slovenia,UEFA,1.33,0.8,57.67
58,Costa Rica,CONCACAF,1.43,0.9,57.61
59,Uganda,CAF,1.46,0.97,56.63
60,Northern Ireland,UEFA,1.38,0.9,56.45
61,Burkina Faso,CAF,1.31,0.83,56.41
62,Iceland,UEFA,1.51,1.02,56.32
63,Rep of Ireland,UEFA,1.29,0.82,56.24
64,Zimbabwe,CAF,1.53,1.05,56.23
65,North Macedonia,UEFA,1.56,1.11,55.45
66,Georgia,UEFA,1.35,0.92,55.21
67,Mali,CAF,1.13,0.74,54.19
68,Uzbekistan,AFC,1.49,1.11,53.88
69,Honduras,CONCACAF,1.57,1.2,53.66
70,Bolivia,CONMEBOL,1.56,1.19,53.44
71,Zambia,CAF,1.61,1.3,52.04
72,Panama,CONCACAF,1.3,1.0,52.02
73,Slovakia,UEFA,1.45,1.16,51.87
74,Albania,UEFA,1.25,0.98,51.22
75,Cameroon,CAF,1.19,0.93,50.98
