,League,Season,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,HalfGoals_Home,HalfGoals_Away,OddsB365_Home,OddsB365_Draw,OddsB365_Away,OddsBW_Home,OddsBW_Draw,OddsBW_Away,OddsIW_Home,OddsIW_Draw,OddsIW_Away,OddsPS_Home,OddsPS_Draw,OddsPS_Away,OddsWH_Home,OddsWH_Draw,OddsWH_Away,OddsVC_Home,OddsVC_Draw,OddsVC_Away,OddsPSC_Home,OddsPSC_Draw,OddsPSC_Away
2488,Ligue1,2017-2018,2017-08-04,Monaco,Toulouse,3,2,1,1,1.3,5.5,10.0,1.3,5.75,9.75,1.35,4.7,7.9,1.32,5.72,11.12,1.3,5.0,10.0,1.3,5.5,11.0,1.29,5.9,12.75
2489,Ligue1,2017-2018,2017-08-05,Lyon,Strasbourg,4,0,1,0,1.36,5.0,8.5,1.36,5.0,8.5,1.4,4.3,7.5,1.4,5.19,8.99,1.4,4.5,8.0,1.36,5.0,9.0,1.34,5.55,10.35
2494,Ligue1,2017-2018,2017-08-05,Troyes,Rennes,1,1,0,0,2.6,3.1,2.9,2.7,3.2,2.75,2.5,3.1,2.8,2.8,3.16,2.9,2.7,3.0,2.8,2.7,3.1,2.88,3.08,3.16,2.6
2493,Ligue1,2017-2018,2017-08-05,Saint-Étienne,Nice,1,0,1,0,2.2,3.2,3.5,2.25,3.2,3.4,2.3,3.1,3.1,2.28,3.17,3.69,2.3,3.2,3.2,2.25,3.2,3.5,2.46,3.23,3.29
2492,Ligue1,2017-2018,2017-08-05,Paris S-G,Amiens,2,0,1,0,1.11,9.0,25.0,1.12,9.25,21.0,1.17,6.5,14.0,1.13,10.7,26.0,1.1,9.0,26.0,1.12,9.5,19.0,1.09,13.0,36.5
2491,Ligue1,2017-2018,2017-08-05,Montpellier,Caen,1,0,0,0,1.91,3.5,4.2,1.83,3.6,4.5,1.85,3.4,4.1,1.88,3.54,4.74,1.91,3.2,4.5,1.9,3.5,4.4,1.83,3.69,4.92
2490,Ligue1,2017-2018,2017-08-05,Metz,Guingamp,1,3,1,1,2.8,3.2,2.63,2.8,3.2,2.65,2.65,3.1,2.65,2.95,3.2,2.71,2.7,3.1,2.7,2.88,3.2,2.63,3.01,3.35,2.54
2497,Ligue1,2017-2018,2017-08-06,Marseille,Dijon,3,0,0,0,1.4,4.75,8.0,1.4,4.75,8.0,1.45,4.0,7.0,1.4,5.19,8.88,1.4,4.5,8.0,1.4,4.8,7.5,1.31,5.8,11.5
2496,Ligue1,2017-2018,2017-08-06,Lille,Nantes,3,0,0,0,2.0,3.2,4.1,2.05,3.25,4.0,2.3,3.1,3.1,2.09,3.29,4.2,2.15,3.0,3.8,2.1,3.25,4.0,2.15,3.27,4.01
2495,Ligue1,2017-2018,2017-08-06,Angers,Bordeaux,2,2,1,1,2.5,3.1,3.1,2.55,3.1,2.95,2.5,3.1,2.8,2.63,3.06,3.14,2.62,3.0,2.9,2.6,3.1,3.0,2.5,3.14,3.31
3965,EPL,2017-2018,2017-08-11,Arsenal,Leicester City,4,3,2,2,1.53,4.5,6.5,1.5,4.6,6.75,1.47,4.5,6.5,1.53,4.55,6.85,1.53,4.2,6.0,1.53,4.5,6.5,1.49,4.73,7.25
2498,Ligue1,2017-2018,2017-08-11,Nice,Troyes,1,2,0,0,1.53,4.0,7.0,1.53,4.1,6.75,1.6,3.6,5.6,1.53,4.5,6.95,1.53,4.0,6.5,1.53,4.2,7.0,1.52,4.51,7.06
2499,Ligue1,2017-2018,2017-08-11,Rennes,Lyon,1,2,0,0,3.6,3.5,2.0,3.75,3.5,2.0,3.45,3.15,2.1,3.69,3.68,2.09,3.6,3.5,2.0,3.75,3.6,2.05,3.64,3.63,2.12
3969,EPL,2017-2018,2017-08-12,Everton,Stoke City,1,0,1,0,1.7,3.8,5.75,1.7,3.6,5.5,1.7,3.7,5.0,1.7,3.83,5.81,1.7,3.5,5.5,1.7,3.8,5.75,1.82,3.49,5.42
3972,EPL,2017-2018,2017-08-12,West Brom,Bournemouth,1,0,1,0,2.4,3.3,3.3,2.4,3.2,3.1,2.3,3.3,3.15,2.46,3.25,3.26,2.5,3.1,3.0,2.5,3.3,3.13,2.65,3.21,3.02
