League,Season,Team_Home,Date,game_id,Goal_Home,Win_Home,o_rating_Home,d_rating_Home,Team_Away,Goal_Away,Win_Away,o_rating_Away,d_rating_Away
Ligue1,2017-2018,Monaco,2017-08-04,2662,3.0,1,0.89944834,1.0881366,Toulouse,2.0,0,0.55770695,0.77617604
Ligue1,2017-2018,Paris S-G,2017-08-05,2663,2.0,1,2.4286835,1.2490237,Amiens,0.0,0,0.40276006,1.0676033
Ligue1,2017-2018,Saint-Étienne,2017-08-05,2664,1.0,1,0.9284172,1.1993439,Nice,0.0,0,1.9228163,1.4551332
Ligue1,2017-2018,Montpellier,2017-08-05,2665,1.0,1,0.050141774,1.1757443,Caen,0.0,0,0.31004688,1.2860723
Ligue1,2017-2018,Metz,2017-08-05,2666,1.0,0,0.5253512,1.1171565,Guingamp,3.0,1,0.7363958,0.79716575
Ligue1,2017-2018,Lyon,2017-08-05,2667,4.0,1,1.3524691,1.266139,Strasbourg,0.0,0,0.31702942,1.1310227
Ligue1,2017-2018,Troyes,2017-08-05,2668,1.0,0,1.2071637,0.96373355,Rennes,1.0,0,0.18558633,1.3590121
Ligue1,2017-2018,Lille,2017-08-06,2669,3.0,1,0.45593664,1.2101772,Nantes,0.0,0,0.54278326,0.9087132
Ligue1,2017-2018,Marseille,2017-08-06,2671,3.0,1,1.7820396,1.0992792,Dijon,0.0,0,0.95088714,1.2276317
Ligue1,2017-2018,Angers,2017-08-06,2670,2.0,0,0.29164463,0.9671933,Bordeaux,2.0,0,0.26258674,0.82734126
Ligue1,2017-2018,Nice,2017-08-11,2672,1.0,0,1.1880798,2.0394723,Troyes,2.0,1,0.86696905,0.77617604
Ligue1,2017-2018,Rennes,2017-08-11,2673,1.0,0,0.0,0.77617604,Lyon,2.0,1,0.690865,1.142684
EPL,2017-2018,Arsenal,2017-08-11,1140,4.0,1,0.950284,1.1429291,Leicester City,3.0,0,0.04609298,0.88819885
Ligue1,2017-2018,Bordeaux,2017-08-12,2678,2.0,1,1.9990311,1.0723376,Metz,0.0,0,0.56546617,0.96716154
Ligue1,2017-2018,Caen,2017-08-12,2677,0.0,0,0.0,0.891263,Saint-Étienne,1.0,1,0.4362,0.7774309
Ligue1,2017-2018,Nantes,2017-08-12,2674,0.0,0,0.26748773,0.77617604,Marseille,1.0,1,0.57351404,1.3776218
Ligue1,2017-2018,Amiens,2017-08-12,2675,0.0,0,0.92495674,1.523651,Angers,2.0,1,0.3450892,0.82593113
Ligue1,2017-2018,Toulouse,2017-08-12,2676,1.0,1,0.27391914,0.77617604,Montpellier,0.0,0,0.14306727,0.77617604
EPL,2017-2018,Brighton,2017-08-12,1147,0.0,0,0.52600235,0.8831353,Manchester City,2.0,1,1.2928377,1.4847691
EPL,2017-2018,Watford,2017-08-12,1141,3.0,0,0.0,0.98434055,Liverpool,3.0,0,0.45213702,1.190728
EPL,2017-2018,West Brom,2017-08-12,1142,1.0,1,0.47435525,0.77617604,Bournemouth,0.0,0,1.2001938,1.7869859
EPL,2017-2018,Everton,2017-08-12,1143,1.0,1,0.2380777,1.109942,Stoke City,0.0,0,0.0,0.77617604
EPL,2017-2018,Southampton,2017-08-12,1144,0.0,0,0.41916344,1.0696007,Swansea City,0.0,0,0.32397294,1.2226471
EPL,2017-2018,Chelsea,2017-08-12,1145,2.0,0,0.587193,1.364687,Burnley,3.0,1,0.0,0.96234107
EPL,2017-2018,Crystal Palace,2017-08-12,1146,0.0,0,0.0,0.8388229,Huddersfield,3.0,1,0.35343075,0.77617604
Ligue1,2017-2018,Dijon,2017-08-13,2680,1.0,0,0.13647644,0.8302732,Monaco,4.0,1,0.38028002,0.93862164
Ligue1,2017-2018,Strasbourg,2017-08-13,2679,3.0,1,0.85696983,0.82387877,Lille,0.0,0,0.040243108,0.9203975
EPL,2017-2018,Manchester Utd,2017-08-13,1149,4.0,1,2.240856,1.5612679,West Ham,0.0,0,0.0989048,1.2132132
Ligue1,2017-2018,Guingamp,2017-08-13,2681,0.0,0,0.3385317,0.981446,Paris S-G,3.0,1,3.7900646,1.9980838
EPL,2017-2018,Newcastle Utd,2017-08-13,1148,0.0,0,0.043893345,0.77617604,Tottenham,2.0,1,4.1307964,2.005154
Ligue1,2017-2018,Metz,2017-08-18,2682,0.0,0,0.69527423,0.77617604,Monaco,1.0,1,0.7553344,0.88081354
Bundesliga,2017-2018,Bayern Munich,2017-08-18,3966,3.0,1,1.2341564,0.91093034,Leverkusen,1.0,0,1.3055514,1.1881689
LaLiga,2017-2018,Leganés,2017-08-18,6934,1.0,1,0.22328514,0.9354782,Alavés,0.0,0,0.062319525,0.77617604
LaLiga,2017-2018,Valencia,2017-08-18,6935,1.0,1,0.5152484,1.0110745,Las Palmas,0.0,0,0.76133776,1.6075227
Ligue1,2017-2018,Montpellier,2017-08-19,2684,1.0,0,0.0,0.9407057,Strasbourg,1.0,0,0.75405943,0.7785341
Ligue1,2017-2018,Troyes,2017-08-19,2685,0.0,0,0.4665727,1.1549026,Nantes,1.0,1,0.14347509,1.0563442
Ligue1,2017-2018,Lyon,2017-08-19,2683,3.0,0,0.51662284,1.1240929,Bordeaux,3.0,0,0.069865845,1.3233654
Bundesliga,2017-2018,Schalke 04,2017-08-19,3972,2.0,1,1.1895267,1.9827359,RB Leipzig,0.0,0,0.09296775,1.2569133
