League,Season,Team_Home,Date,game_id,Goal_Home,Win_Home,o_rating_Home,d_rating_Home,Team_Away,Goal_Away,Win_Away,o_rating_Away,d_rating_Away
Ligue1,2017-2018,Monaco,2017-08-04,2662,3.0,1,0.9271468,1.0797403,Toulouse,2.0,0,0.69017744,0.91080385
Ligue1,2017-2018,Paris S-G,2017-08-05,2663,2.0,1,1.7009146,0.8337925,Amiens,0.0,0,0.70282704,1.0788412
Ligue1,2017-2018,Saint-Étienne,2017-08-05,2664,1.0,1,1.2006171,0.94413364,Nice,0.0,0,1.1235762,0.88540196
Ligue1,2017-2018,Montpellier,2017-08-05,2665,1.0,1,0.527822,1.1900234,Caen,0.0,0,0.6994394,0.86697584
Ligue1,2017-2018,Metz,2017-08-05,2666,1.0,0,0.7453804,1.0742073,Guingamp,3.0,1,1.0960786,0.96670073
Ligue1,2017-2018,Lyon,2017-08-05,2667,4.0,1,1.8409641,1.1077001,Strasbourg,0.0,0,0.6707208,1.170492
Ligue1,2017-2018,Troyes,2017-08-05,2668,1.0,0,0.847415,0.95153356,Rennes,1.0,0,0.7194398,1.175801
Ligue1,2017-2018,Lille,2017-08-06,2669,3.0,1,0.63748884,1.1314183,Nantes,0.0,0,1.0394607,0.90646636
Ligue1,2017-2018,Marseille,2017-08-06,2671,3.0,1,1.355593,1.0552567,Dijon,0.0,0,0.956962,1.2230968
Ligue1,2017-2018,Angers,2017-08-06,2670,2.0,0,0.79435563,1.1042211,Bordeaux,2.0,0,0.720598,1.0895035
Ligue1,2017-2018,Nice,2017-08-11,2672,1.0,0,0.950775,0.6971837,Troyes,2.0,1,1.2171874,0.8356239
Ligue1,2017-2018,Rennes,2017-08-11,2673,1.0,0,0.62479657,1.0651577,Lyon,2.0,1,1.3798251,0.9049524
EPL,2017-2018,Arsenal,2017-08-11,1140,4.0,1,1.2559459,0.8094746,Leicester City,3.0,0,0.5444043,1.0989429
Ligue1,2017-2018,Bordeaux,2017-08-12,2678,2.0,1,1.6537154,0.95251364,Metz,0.0,0,0.85851276,0.877495
Ligue1,2017-2018,Caen,2017-08-12,2677,0.0,0,0.6610602,1.0076021,Saint-Étienne,1.0,1,0.6023194,1.0094024
Ligue1,2017-2018,Nantes,2017-08-12,2674,0.0,0,0.8131355,0.88702685,Marseille,1.0,1,0.7630629,0.9949539
Ligue1,2017-2018,Amiens,2017-08-12,2675,0.0,0,0.7603648,0.85645294,Angers,2.0,1,0.8824778,1.0826192
Ligue1,2017-2018,Toulouse,2017-08-12,2676,1.0,1,0.7336974,0.8491622,Montpellier,0.0,0,0.5449859,0.96618605
EPL,2017-2018,Brighton,2017-08-12,1147,0.0,0,0.7502242,1.0479679,Manchester City,2.0,1,0.9591044,0.72036135
EPL,2017-2018,Watford,2017-08-12,1141,3.0,0,0.58580005,1.1066042,Liverpool,3.0,0,0.87634265,1.4052455
EPL,2017-2018,West Brom,2017-08-12,1142,1.0,1,1.1298583,0.9851036,Bournemouth,0.0,0,1.0909528,0.90479773
EPL,2017-2018,Everton,2017-08-12,1143,1.0,1,0.73029596,0.84722424,Stoke City,0.0,0,0.6008351,1.2427337
EPL,2017-2018,Southampton,2017-08-12,1144,0.0,0,0.6799842,1.1767622,Swansea City,0.0,0,0.6216576,1.2031015
EPL,2017-2018,Chelsea,2017-08-12,1145,2.0,0,1.0861189,1.034296,Burnley,3.0,1,0.452927,1.1965154
EPL,2017-2018,Crystal Palace,2017-08-12,1146,0.0,0,0.64768773,1.0217799,Huddersfield,3.0,1,0.79430914,0.9952265
Ligue1,2017-2018,Dijon,2017-08-13,2680,1.0,0,0.6709097,1.1012717,Monaco,4.0,1,0.8677326,1.1606392
Ligue1,2017-2018,Strasbourg,2017-08-13,2679,3.0,1,0.944997,1.1766874,Lille,0.0,0,0.69793344,0.97438425
EPL,2017-2018,Manchester Utd,2017-08-13,1149,4.0,1,1.807817,0.7697688,West Ham,0.0,0,0.71036637,1.2784044
Ligue1,2017-2018,Guingamp,2017-08-13,2681,0.0,0,0.93336594,1.130801,Paris S-G,3.0,1,2.5699275,0.5099263
EPL,2017-2018,Newcastle Utd,2017-08-13,1148,0.0,0,0.6984308,0.91003215,Tottenham,2.0,1,2.1794374,0.27940083
Ligue1,2017-2018,Metz,2017-08-18,2682,0.0,0,1.0876923,0.92541414,Monaco,1.0,1,0.62403333,1.135428
Bundesliga,2017-2018,Bayern Munich,2017-08-18,3966,3.0,1,1.4133053,1.0367616,Leverkusen,1.0,0,1.4658577,1.0377531
LaLiga,2017-2018,Leganés,2017-08-18,6934,1.0,1,0.6784776,0.92942077,Alavés,0.0,0,0.6915922,1.0731051
LaLiga,2017-2018,Valencia,2017-08-18,6935,1.0,1,0.8629881,1.0402333,Las Palmas,0.0,0,1.343173,0.63700783
Ligue1,2017-2018,Montpellier,2017-08-19,2684,1.0,0,0.4522284,0.9492383,Strasbourg,1.0,0,0.97423875,0.9363655
Ligue1,2017-2018,Troyes,2017-08-19,2685,0.0,0,0.5223863,0.85069984,Nantes,1.0,1,0.54051644,1.2072955
Ligue1,2017-2018,Lyon,2017-08-19,2683,3.0,0,0.8899165,1.1836041,Bordeaux,3.0,0,0.7981386,1.1818511
Bundesliga,2017-2018,Schalke 04,2017-08-19,3972,2.0,1,1.1433121,0.92742133,RB Leipzig,0.0,0,0.67639697,0.8712559
Bundesliga,2017-2018,Hertha BSC,2017-08-19,3971,2.0,1,0.6043066,1.1891032,Stuttgart,0.0,0,0.8892571,1.1177143
Bundesliga,2017-2018,Hamburger SV,2017-08-19,3970,1.0,1,0.85103285,0.9127828,Augsburg,0.0,0,0.60794157,1.1176118
LaLiga,2017-2018,Sevilla,2017-08-19,6938,1.0,0,0.70199543,0.7271632,Espanyol,1.0,0,0.59673595,1.1490337
LaLiga,2017-2018,Girona,2017-08-19,6937,2.0,0,0.77026814,1.0764906,Atlético Madrid,2.0,0,1.0072485,0.926159
LaLiga,2017-2018,Celta Vigo,2017-08-19,6936,2.0,0,0.6444199,0.946792,Real Sociedad,3.0,1,0.57423913,1.1370344
Ligue1,2017-2018,Saint-Étienne,2017-08-19,2686,3.0,1,0.75202,1.0502356,Amiens,0.0,0,0.6027672,1.0736116
Ligue1,2017-2018,Nice,2017-08-19,2687,2.0,1,1.384734,1.0252904,Guingamp,0.0,0,1.3854584,1.0887873
EPL,2017-2018,Burnley,2017-08-19,1154,0.0,0,0.7923477,1.0444467,West Brom,1.0,1,0.67777634,1.123062
EPL,2017-2018,Bournemouth,2017-08-19,1153,0.0,0,0.66017056,1.1763086,Watford,2.0,1,0.6923723,0.9503913
EPL,2017-2018,Leicester City,2017-08-19,1152,2.0,1,1.1370242,0.93976665,Brighton,0.0,0,0.6961249,0.96994203
EPL,2017-2018,Southampton,2017-08-19,1151,3.0,1,0.84744036,0.9233079,West Ham,2.0,0,0.63836974,1.0207462
Ligue1,2017-2018,Rennes,2017-08-19,2688,2.0,0,0.7849283,0.88826424,Dijon,2.0,0,0.8849755,1.1970176
EPL,2017-2018,Swansea City,2017-08-19,1150,0.0,0,0.6817034,1.1069826,Manchester Utd,4.0,1,2.1099215,0.8204551
Bundesliga,2017-2018,Mainz 05,2017-08-19,3968,0.0,0,0.5539225,1.0384226,Hannover 96,1.0,1,0.70878625,1.0543803
Bundesliga,2017-2018,Wolfsburg,2017-08-19,3969,0.0,0,0.6859801,1.0274181,Dortmund,3.0,1,1.0033376,0.94108385
SerieA,2017-2018,Hellas Verona,2017-08-19,5415,1.0,0,0.94536996,0.9991472,Napoli,3.0,1,1.8131258,0.8937384
EPL,2017-2018,Liverpool,2017-08-19,1155,1.0,1,1.0168852,0.8617745,Crystal Palace,0.0,0,0.70567596,0.87842447
EPL,2017-2018,Stoke City,2017-08-19,1156,1.0,1,0.7035529,1.0510939,Arsenal,0.0,0,0.6648423,0.70113665
SerieA,2017-2018,Juventus,2017-08-19,5414,3.0,1,1.944083,0.7157779,Cagliari,0.0,0,1.072045,1.09683
Bundesliga,2017-2018,Hoffenheim,2017-08-19,3967,1.0,1,1.263335,0.7071602,Werder Bremen,0.0,0,1.0446585,1.2006534
SerieA,2017-2018,Udinese,2017-08-20,5420,1.0,0,0.91012233,0.8440198,Chievo,2.0,1,0.939826,0.95091057
SerieA,2017-2018,Sampdoria,2017-08-20,5417,2.0,1,1.2586415,0.8407938,Benevento,1.0,0,1.1262834,0.99587464
SerieA,2017-2018,Lazio,2017-08-20,5423,0.0,0,0.92832553,1.091341,SPAL,0.0,0,1.1792705,0.9528482
SerieA,2017-2018,Crotone,2017-08-20,5418,0.0,0,0.75588125,1.1601026,Milan,3.0,1,1.623802,0.81415665
SerieA,2017-2018,Bologna,2017-08-20,5419,1.0,0,1.0857425,1.0984967,Torino,1.0,0,1.0180095,1.0195353
SerieA,2017-2018,Sassuolo,2017-08-20,5422,0.0,0,0.79197574,0.9936568,Genoa,0.0,0,0.93069166,0.9842235
SerieA,2017-2018,Inter,2017-08-20,5421,3.0,1,1.2413592,1.0179396,Fiorentina,0.0,0,0.99873376,1.1753775
EPL,2017-2018,Tottenham,2017-08-20,1158,1.0,0,0.6331177,0.8453599,Chelsea,2.0,1,0.8570411,0.8421278
EPL,2017-2018,Huddersfield,2017-08-20,1157,1.0,1,0.7968781,0.97679734,Newcastle Utd,0.0,0,0.68148315,0.9668549
SerieA,2017-2018,Atalanta,2017-08-20,5416,0.0,0,0.6717788,1.0114758,Roma,1.0,1,0.6963383,0.8758958
Ligue1,2017-2018,Paris S-G,2017-08-20,2691,6.0,1,1.9892108,0.4728279,Toulouse,2.0,0,0.78841794,0.9103847
Ligue1,2017-2018,Marseille,2017-08-20,2690,1.0,0,0.721624,1.0808121,Angers,1.0,0,0.591704,0.8920714
Ligue1,2017-2018,Lille,2017-08-20,2689,0.0,0,0.5175362,1.058528,Caen,2.0,1,0.9148176,0.8834588
Bundesliga,2017-2018,M'Gladbach,2017-08-20,3974,1.0,1,1.2336801,1.1235249,Köln,0.0,0,0.9907265,0.9948279
Bundesliga,2017-2018,Freiburg,2017-08-20,3973,0.0,0,0.6376904,1.0491794,Eint Frankfurt,0.0,0,1.1214455,1.1795455
LaLiga,2017-2018,Athletic Club,2017-08-20,6939,0.0,0,0.526207,0.88979024,Getafe,0.0,0,0.80345917,0.9582126
LaLiga,2017-2018,La Coruña,2017-08-20,6941,0.0,0,0.75793713,0.95032275,Real Madrid,3.0,1,2.2881236,0.782252
LaLiga,2017-2018,Barcelona,2017-08-20,6940,2.0,1,0.9854058,0.8612259,Betis,0.0,0,0.8992035,1.0572981
EPL,2017-2018,Manchester City,2017-08-21,1159,1.0,0,0.93099594,0.9661398,Everton,1.0,0,0.92347765,1.0826772
LaLiga,2017-2018,Levante,2017-08-21,6942,1.0,1,0.86657685,0.98535347,Villarreal,0.0,0,1.0084118,1.0430096
LaLiga,2017-2018,Málaga,2017-08-21,6943,0.0,0,0.76631343,1.1177143,Eibar,1.0,1,0.7061151,0.9908854
Bundesliga,2017-2018,Köln,2017-08-25,3975,1.0,0,0.77001363,0.9995408,Hamburger SV,3.0,1,0.8350167,0.9293294
LaLiga,2017-2018,Betis,2017-08-25,6945,2.0,1,1.0218139,1.3493084,Celta Vigo,1.0,0,0.72692466,0.9261456
LaLiga,2017-2018,Real Sociedad,2017-08-25,6944,3.0,1,0.90044934,1.1668255,Villarreal,0.0,0,0.6030476,1.0013107
Ligue1,2017-2018,Paris S-G,2017-08-25,2692,3.0,1,0.86716866,0.9350621,Saint-Étienne,0.0,0,0.9931818,1.0068325
Bundesliga,2017-2018,Stuttgart,2017-08-26,3976,1.0,1,0.9227426,1.2036124,Mainz 05,0.0,0,0.7412121,1.1263124
Bundesliga,2017-2018,Eint Frankfurt,2017-08-26,3977,0.0,0,0.6198281,1.263818,Wolfsburg,1.0,1,0.6415031,1.045457
Ligue1,2017-2018,Nantes,2017-08-26,2693,0.0,0,1.0861385,0.98789483,Lyon,0.0,0,1.0634968,0.8954416
Ligue1,2017-2018,Toulouse,2017-08-26,2694,3.0,1,0.6665734,0.9582592,Rennes,2.0,0,0.78335047,0.8228602
Ligue1,2017-2018,Caen,2017-08-26,2695,1.0,1,0.8839279,1.2099204,Metz,0.0,0,0.66775405,0.9930408
Ligue1,2017-2018,Amiens,2017-08-26,2696,3.0,1,1.062515,0.9038734,Nice,0.0,0,0.8196639,0.7773408
Ligue1,2017-2018,Bordeaux,2017-08-26,2697,2.0,1,0.84131324,1.2293341,Troyes,1.0,0,0.6291029,1.0989813
