League,Season,Team_Home,Date,game_id,Goal_Home,Win_Home,o_rating_Home,d_rating_Home,Team_Away,Goal_Away,Win_Away,o_rating_Away,d_rating_Away
Ligue1,2017-2018,Monaco,2017-08-04,2662,3.0,1,0.75590324,1.0625751,Toulouse,2.0,0,0.3088203,1.0473512
Ligue1,2017-2018,Paris S-G,2017-08-05,2663,2.0,1,1.7038746,0.74144936,Amiens,0.0,0,0.57842565,0.96770084
Ligue1,2017-2018,Saint-Étienne,2017-08-05,2664,1.0,1,1.233659,1.01886,Nice,0.0,0,1.1681211,0.7548727
Ligue1,2017-2018,Montpellier,2017-08-05,2665,1.0,1,0.0,1.1451848,Caen,0.0,0,0.77922493,1.0458153
Ligue1,2017-2018,Metz,2017-08-05,2666,1.0,0,0.62010276,0.9649476,Guingamp,3.0,1,0.6306935,0.9548326
Ligue1,2017-2018,Lyon,2017-08-05,2667,4.0,1,1.5961293,1.1108867,Strasbourg,0.0,0,0.14937991,1.1857207
Ligue1,2017-2018,Troyes,2017-08-05,2668,1.0,0,0.85627997,1.0838246,Rennes,1.0,0,0.31216848,1.1484808
Ligue1,2017-2018,Lille,2017-08-06,2669,3.0,1,0.6099126,1.0688989,Nantes,0.0,0,0.7157817,1.1271186
Ligue1,2017-2018,Marseille,2017-08-06,2671,3.0,1,1.7929041,1.0483186,Dijon,0.0,0,0.97195387,1.0928099
Ligue1,2017-2018,Angers,2017-08-06,2670,2.0,0,0.6445468,1.0270841,Bordeaux,2.0,0,0.44880688,1.0603182
Ligue1,2017-2018,Nice,2017-08-11,2672,1.0,0,1.3104011,0.8288749,Troyes,2.0,1,1.061179,0.99155366
Ligue1,2017-2018,Rennes,2017-08-11,2673,1.0,0,0.61900544,1.1099896,Lyon,2.0,1,0.9908275,1.0687865
EPL,2017-2018,Arsenal,2017-08-11,1140,4.0,1,1.2764363,0.81509787,Leicester City,3.0,0,0.32988673,1.2726295
Ligue1,2017-2018,Bordeaux,2017-08-12,2678,2.0,1,1.772224,0.8991585,Metz,0.0,0,0.8410033,1.0459653
Ligue1,2017-2018,Caen,2017-08-12,2677,0.0,0,0.22413611,1.060665,Saint-Étienne,1.0,1,0.5557288,1.0303656
Ligue1,2017-2018,Nantes,2017-08-12,2674,0.0,0,0.62680507,0.9968084,Marseille,1.0,1,1.1996268,0.9264078
Ligue1,2017-2018,Amiens,2017-08-12,2675,0.0,0,1.1433895,0.91627544,Angers,2.0,1,0.63270855,1.0732262
Ligue1,2017-2018,Toulouse,2017-08-12,2676,1.0,1,0.51690567,1.0628269,Montpellier,0.0,0,0.21933544,1.1281309
EPL,2017-2018,Brighton,2017-08-12,1147,0.0,0,0.7855135,1.2148777,Manchester City,2.0,1,1.0204066,0.77337885
EPL,2017-2018,Watford,2017-08-12,1141,3.0,0,0.61174047,1.1389132,Liverpool,3.0,0,0.30962998,1.4895686
EPL,2017-2018,West Brom,2017-08-12,1142,1.0,1,0.9460115,1.047255,Bournemouth,0.0,0,1.0235128,1.0829331
EPL,2017-2018,Everton,2017-08-12,1143,1.0,1,0.4495662,0.8743814,Stoke City,0.0,0,0.5786757,1.2109975
EPL,2017-2018,Southampton,2017-08-12,1144,0.0,0,0.5671428,1.193065,Swansea City,0.0,0,0.22293526,1.3118417
EPL,2017-2018,Chelsea,2017-08-12,1145,2.0,0,1.2344791,0.99580145,Burnley,3.0,1,0.13906783,1.257843
EPL,2017-2018,Crystal Palace,2017-08-12,1146,0.0,0,0.32229382,1.1758301,Huddersfield,3.0,1,0.5689325,1.0748179
Ligue1,2017-2018,Dijon,2017-08-13,2680,1.0,0,0.49845764,1.1295611,Monaco,4.0,1,0.76407933,1.0518928
Ligue1,2017-2018,Strasbourg,2017-08-13,2679,3.0,1,1.2829435,1.1623613,Lille,0.0,0,0.4915502,0.96060544
EPL,2017-2018,Manchester Utd,2017-08-13,1149,4.0,1,1.9788108,0.75772846,West Ham,0.0,0,0.65512806,1.288221
Ligue1,2017-2018,Guingamp,2017-08-13,2681,0.0,0,0.8701016,1.213438,Paris S-G,3.0,1,2.7183795,0.44480598
EPL,2017-2018,Newcastle Utd,2017-08-13,1148,0.0,0,0.80996066,1.2216803,Tottenham,2.0,1,3.1618776,0.3040563
Ligue1,2017-2018,Metz,2017-08-18,2682,0.0,0,1.2018363,1.0227208,Monaco,1.0,1,0.5836381,1.1404488
Bundesliga,2017-2018,Bayern Munich,2017-08-18,3966,3.0,1,1.4227207,1.0444959,Leverkusen,1.0,0,1.3632147,1.0132833
LaLiga,2017-2018,Leganés,2017-08-18,6934,1.0,1,0.939765,1.2734782,Alavés,0.0,0,0.6619674,1.0607646
LaLiga,2017-2018,Valencia,2017-08-18,6935,1.0,1,1.0496346,0.9560497,Las Palmas,0.0,0,1.4126868,1.0388137
Ligue1,2017-2018,Montpellier,2017-08-19,2684,1.0,0,0.22283405,1.0611242,Strasbourg,1.0,0,1.2595042,0.9798535
Ligue1,2017-2018,Troyes,2017-08-19,2685,0.0,0,0.50775206,0.82347244,Nantes,1.0,1,0.21351749,1.6282376
Ligue1,2017-2018,Lyon,2017-08-19,2683,3.0,0,0.91812223,1.244263,Bordeaux,3.0,0,0.49399823,1.0692036
Bundesliga,2017-2018,Schalke 04,2017-08-19,3972,2.0,1,1.3988471,1.1406493,RB Leipzig,0.0,0,0.45449942,1.0676436
Bundesliga,2017-2018,Hertha BSC,2017-08-19,3971,2.0,1,0.5747037,0.9427365,Stuttgart,0.0,0,0.84247345,1.1481174
Bundesliga,2017-2018,Hamburger SV,2017-08-19,3970,1.0,1,0.8295202,1.0549006,Augsburg,0.0,0,0.19374228,1.0977504
LaLiga,2017-2018,Sevilla,2017-08-19,6938,1.0,0,1.01822,0.9009164,Espanyol,1.0,0,0.5040863,1.1181132
LaLiga,2017-2018,Girona,2017-08-19,6937,2.0,0,0.9603253,1.0998499,Atlético Madrid,2.0,0,1.0271719,0.9479507
LaLiga,2017-2018,Celta Vigo,2017-08-19,6936,2.0,0,0.81330293,1.0946958,Real Sociedad,3.0,1,0.6595313,1.1401705
Ligue1,2017-2018,Saint-Étienne,2017-08-19,2686,3.0,1,0.5871848,1.0800397,Amiens,0.0,0,0.6658505,1.0845767
Ligue1,2017-2018,Nice,2017-08-19,2687,2.0,1,1.8284106,0.86606693,Guingamp,0.0,0,1.4250809,1.1137944
EPL,2017-2018,Burnley,2017-08-19,1154,0.0,0,0.4916679,1.0747178,West Brom,1.0,1,0.60166824,1.0653902
EPL,2017-2018,Bournemouth,2017-08-19,1153,0.0,0,0.2081945,1.1624575,Watford,2.0,1,0.0,0.9122753
EPL,2017-2018,Leicester City,2017-08-19,1152,2.0,1,1.2928092,0.9040697,Brighton,0.0,0,0.9236149,1.0141671
EPL,2017-2018,Southampton,2017-08-19,1151,3.0,1,1.1319362,0.85829276,West Ham,2.0,0,0.7068967,1.1793413
Ligue1,2017-2018,Rennes,2017-08-19,2688,2.0,0,0.9714681,0.9789249,Dijon,2.0,0,0.62703824,1.2369311
EPL,2017-2018,Swansea City,2017-08-19,1150,0.0,0,0.42333663,1.0930866,Manchester Utd,4.0,1,2.352589,0.8147245
Bundesliga,2017-2018,Mainz 05,2017-08-19,3968,0.0,0,0.2446838,1.0132447,Hannover 96,1.0,1,0.41773617,1.1709247
Bundesliga,2017-2018,Wolfsburg,2017-08-19,3969,0.0,0,0.5232791,1.1208019,Dortmund,3.0,1,0.6907273,0.9834615
